traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
0,20260621,M3,M3,True,,6943.88070786412,0,36.74859539684368,-158.72977947212357,57.9711034253294,193.4421100439444,-35.50668767220105,18.327143483586237,6.048495613212262,1495.044223732982,0.0,0.0,0.0,6938.894225933775,0,36.76287231728283,-158.45428297261049,58.35728457525903,190.85134757541127,-35.017503551149304,18.04081910520902,0.8824463664573176,1521.3360181365924,8.020507369672583,20.74476593803084,-111.37425658507084,9.97296386069138,22.250256291000003
1,20260622,M3,M3,True,,6923.827535766447,0,40.708458922951195,-135.61174714888313,43.223717288977326,159.3600276658623,-21.044617298005445,32.10390534034087,5.800808672565631,1249.389740628531,0.0,0.0,0.0,6922.522716578416,0,40.622102438968774,-135.94890362780822,43.47832123227411,161.95472866872626,-21.681014073394294,32.20946078852385,8.754292972946567,1239.7445415174066,3.4451377553973925,-21.068082916443572,-2.8630744774000023,2.6096383760614117,8.041237666999997
2,20260623,M3,M3,True,,6961.216149467173,0,34.97544843306696,-110.26303207726266,27.13802961383888,126.51731367519682,-10.363797413116362,18.39553797788034,15.156446263231686,1415.0302023570214,0.0,0.0,0.0,6959.851485473842,0,35.15214901720341,-109.972751413172,27.304897418845652,123.81269676017334,-9.846500295108749,18.86028877757003,9.47107273126921,1407.751599561213,5.069179681632917,19.406849531620313,-13.15864455680082,2.729327986660792,21.60884175
3,20260624,M3,M3,True,,7043.168016954533,0,38.12954083489877,-129.2697173926714,49.88203680498002,159.35444581901424,-35.56213501797006,22.279781310049575,-33.03692378023333,1527.7497657408508,0.0,0.0,0.0,7043.045435911754,0,38.15028272616248,-129.1446197446992,49.67817631879652,158.57665941403695,-35.363956574852494,22.26250445963276,-32.88490281437199,1528.6442213201788,0.4404003875017379,6.262400686887236,-4.625230695548176,0.245162085559059,11.640250125
4,20260625,M3,M3,True,,6908.832054404032,0,37.20616108471243,-126.6375369356797,54.181598360005026,146.09745260997224,-34.63601813931195,17.673445625724177,-32.4466880617283,1495.9564586353304,0.0,0.0,0.0,6908.639899230688,0,37.22341286030823,-126.59408267456052,54.063376205151,145.27289384462784,-34.61147147243418,17.728267419744373,-31.565964821158843,1493.1179892655878,0.7777050557444671,7.42626775760883,-6.611399220211181,0.3843103466879256,10.586644624999993
5,20260626,M3,M3,True,,7067.321935667103,0,35.83169169302192,-129.4835285978584,46.15983180873867,149.3904955448917,-26.27610213209723,20.635707430660055,-2.7333002477005004,1473.2199442081153,0.0,0.0,0.0,7064.588570212102,0,35.71992709911293,-130.05228104641512,45.91541753957736,149.5550766463911,-26.042188473196315,20.01788529378927,-3.0614001929911665,1360.8525508457792,139.1134702057492,-1.8780167042111815,18.449771133732025,5.466730910002298,11.008848208000003
6,20260627,M3,M3,True,,6919.453821638026,0,36.824916437755675,-116.82571437121284,39.66146613429626,137.57967711584504,-5.361568078406492,24.152690801010408,-7.752189428748389,1291.4013128985996,0.0,0.0,0.0,6918.972198054415,0,36.78473449114298,-117.12184528704722,39.49305064306747,139.35401960154522,-5.705409340654168,24.023950800013395,-3.486539155153249,1291.3265336033323,1.5109387512537786,-11.916405421215323,0.5274746331947118,0.9632471672230168,9.108129542
7,20260628,M3,M3,True,,7044.3945601278365,0,36.92783120804606,-133.65920520027225,36.65049348845803,156.90809220425356,-20.496760627147317,23.997392906328997,-27.505651451752925,1403.9554484415528,0.0,0.0,0.0,7043.191912041544,0,36.75311177210805,-133.84390016812765,37.35889796528224,158.4915815925437,-20.464231273009688,23.593482948585628,-31.724566000212505,1395.502084766692,1.9550994159296615,-11.43688921528326,-48.45731026037003,2.4052961725847126,17.941820000000007
8,20260629,M3,M3,True,,7142.463735791611,0,37.12129352329928,-135.27433309693637,26.982978372721405,156.85575055923476,-2.743499107382844,25.691609257339447,-14.01750199563349,1457.297102513506,0.0,0.0,0.0,7138.663534986406,0,37.014930686710514,-133.762922711355,25.631974565641418,159.66610948252136,-3.240095881289773,26.276595560737267,-1.622463655901884,1420.613366885669,13.909271336178955,-38.23549646312076,1.1804364692790097,7.60040161040888,8.78880366700001
9,20260630,M3,M3,True,,6884.542418029279,0,37.06569656740065,-141.33680539218116,43.310436975306544,172.38158493724956,-18.299348637566055,21.047089815160177,6.534451021955073,1368.11969591924,0.0,0.0,0.0,6883.636850640738,0,37.08193148371735,-141.29046015031847,42.90089302438695,170.85783502913625,-18.187812860556132,21.16044681038903,7.673651736715573,1338.189966375649,29.667850943544103,12.530049663506931,26.869113570975387,1.8111347770827704,14.921751375
10,20260631,M3,M3,True,,7089.796856608889,0,34.29810515880318,-151.80922112376152,52.725609595234715,183.4128096594947,-15.566804815971633,24.511545526599644,-4.593104959212365,1311.573027511099,0.0,0.0,0.0,7083.426077302911,0,33.9898267838944,-150.94559716393746,53.09561073160199,187.0597099590991,-16.34052151144092,23.63848664316549,-1.7134590998828647,1308.4853615826569,17.42025215782842,-40.58514003688551,1.470927021809325,12.741558611956862,8.320422457999996
11,20260632,M3,M3,True,,6749.695529686107,0,39.23024193992816,-125.9640679391636,50.939285467943286,160.0871064974565,-38.294838669232824,22.905399833231975,-0.374619022755358,1298.9835529853278,0.0,0.0,0.0,6745.8691131038995,0,39.22699834043387,-126.70224357018166,51.8560837073815,161.40280221385467,-38.79439145745576,22.74464312220855,-2.1233139742371403,1289.6702358570396,1.9689189002285032,-3.8268427005247703,-96.39403323905042,7.652833164414915,17.231104375
12,20260633,M3,M3,True,,6983.734151751818,0,35.76596439734283,-131.81404605572763,50.761381072633306,155.3931433020947,-35.688098638031725,21.42971016698587,-26.234930889107567,1392.5300627317847,0.0,0.0,0.0,6982.7037559978135,0,35.75423067579007,-131.86049038581714,51.349433171666064,157.08501652823574,-35.855681122876064,21.398161320999595,-29.334655047509575,1387.4143674229538,3.503581166564549,-16.955518087496753,-11.060038133223609,2.0607915080090606,13.063654125
13,20260634,M3,M3,True,,7030.50205855552,0,38.078781224296016,-121.37723727716164,33.56837419715702,141.48300561470978,-11.440862968104632,27.333049586020977,6.976308579406891,1347.9220623840351,0.0,0.0,0.0,7026.351330628059,0,37.97217050011464,-123.11631348839929,34.322481942188816,147.7981341786972,-13.33603647663871,27.31043671139444,21.419771723833573,1331.856731748653,15.211313472371645,-40.76408291054209,-15.985781547589436,8.301455854922096,8.383298833000026
14,20260635,M3,M3,True,,7024.71046779502,0,37.766942656938966,-144.8119947841183,32.63117471945816,172.6159750702908,-12.351110980318554,22.187315300713145,-41.61112980490231,1493.054758202054,0.0,0.0,0.0,7017.219209562844,0,37.48140951604138,-145.67565829971178,32.290806699498965,176.44309750166937,-12.823086026217997,21.30893966561431,-32.2097527250928,1414.61698889653,133.75726338209745,-30.818315912789817,-122.5401574080933,14.982516464351647,14.700558999999998
15,20260636,M3,M3,True,,6875.60297402424,0,41.311591118199,-115.15254983214304,24.461187087176157,141.6803605323924,7.384863563041915,25.23379362101511,30.861307583190246,1423.904721557549,0.0,0.0,0.0,6875.400888467158,0,41.29804200078412,-115.4677229007086,24.121000400135003,143.23862399776576,7.034015633058569,25.16377827303584,36.66612032655273,1428.6549073926817,0.9539406492053232,-9.798928713331598,-7.139005426290123,0.404171114163546,16.581780500000008
16,20260637,M3,M3,True,,6832.429867556137,0,35.11357020954721,-105.504138755484,17.602786652820836,125.09186331229006,11.11515471208514,20.452060407217346,-53.27383139845034,1266.0287039258233,0.0,0.0,0.0,6829.207748383089,0,34.95305552929124,-104.35469577738272,16.19987374405158,127.33369041295047,10.660253397961576,19.808608735346887,-39.33082518535057,1252.3819830496298,11.180168938059415,-29.76330573636589,29.548147234749457,6.444238346095517,11.030512249999989
17,20260638,M3,M3,True,,7041.312074921423,0,37.38280250298128,-117.4971248476946,32.11074889908952,128.36916336885477,-28.136899864914653,24.55764452494952,-1.362750421695503,1407.00561466457,0.0,0.0,0.0,7040.4204858448375,0,37.46933902001097,-118.0804319025991,31.413003433382578,127.3317424577846,-27.84162124795152,24.65365986471962,2.957218359406516,1413.7627446195825,3.101947877729739,16.884936808379923,29.744140948265784,1.7831781531713204,16.260070000000013
18,20260639,M3,M3,True,,6948.230919697539,0,38.09374152281136,-124.2856455605143,52.83442138109372,136.6831535654422,-22.734010826928543,20.47655372010888,-8.353849062716723,1476.1080649694966,0.0,0.0,0.0,6945.206601347067,0,38.04130459175476,-123.6810117797786,52.74332616946413,138.07650576224216,-23.21634507652922,20.155923932608115,-2.8664422331063792,1499.3485374827685,7.294956924543091,-22.44729940683445,-75.7316342989804,6.048636700945281,21.798513000000018
19,20260640,M3,M3,True,,6941.088996361489,0,37.95046958842329,-134.9762989216889,46.146762564462854,166.37520222910342,-25.28518522862097,17.478787104002954,16.065698374819785,1564.6504908386871,0.0,0.0,0.0,6940.509489128457,0,37.86569753176203,-135.31935543571393,45.97273987925156,166.70520462040722,-25.032733062945887,17.213944545093245,15.58770672452134,1499.8442889845116,72.59458464611083,-0.7304605146374847,-27.883311910896147,1.1590144660640362,14.293662499999982
20,20260641,M3,M3,True,,6904.65765540438,0,35.42040820143973,-123.67408731418674,47.09547657124008,141.26645904006344,-20.50623413295029,18.752525287041024,-13.218515644904905,1385.0198969679082,0.0,0.0,0.0,6900.732992051409,0,35.27656832534751,-123.70425311526678,46.672841062957446,145.11803080922738,-20.19761988451719,18.621624826880755,-15.260951861831783,1368.087046421947,15.074127836713744,-33.50849165019058,13.73058158968958,7.849326705942076,2332.566144167
21,20260642,M3,M3,True,,7060.805394061472,0,40.36487439786757,-123.55656902243705,46.619322493035625,129.57699363414434,-23.477126095928785,31.57040576360035,13.322639910519586,1359.5161682038718,0.0,0.0,0.0,7044.540495088476,0,39.70482662445515,-125.22707094021848,46.199043614069744,140.66337617640266,-26.45923504634954,29.21716538448744,37.890872349416085,1350.6507157099368,63.51298121951434,-86.15495984219122,-55.86590181987303,32.52979794599196,2128.1515842920003
22,20260643,M3,M3,True,,6761.910239590273,0,40.51768181696095,-131.32338244367136,44.63573205049321,152.74361842990098,-35.94491330560413,15.425834380096454,29.13575252631985,1563.4282502552267,0.0,0.0,0.0,6759.903988340914,0,40.407462060495895,-130.56579222023194,46.06144396953607,154.58451630695458,-35.55588117058014,15.055419863845053,2.9403970656623017,1540.9820860656043,27.01517381583226,-40.33483777044889,-3.938795453622856,4.012502498717367,12.638944959
