traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
0,20260621,moderate,M4,True,,7002.419808009996,0,37.01334026213214,-159.14678620401364,60.37598793727758,192.7445372007223,-38.15999013821767,18.791795247936307,9.72243890285248,1544.5510051609697,0.0,0.0,0.0,6996.570029559451,0,37.03385222436502,-158.56328217907765,60.0376929665445,188.51800248507897,-36.73810592077847,18.588130507661504,1.6546114811294503,1551.6299539927672,16.979548351261208,34.22910043654215,-85.55507876440947,11.699556901090546,22.191511208
1,20260622,moderate,M4,True,,6970.400852411486,0,40.89366940480445,-136.20495047477584,43.07285977749468,159.60707494092662,-21.311597776737788,32.37122007098554,7.838728797030043,1282.7720722784536,0.0,0.0,0.0,6970.3269102975155,0,40.87635972667031,-136.28939421524962,43.1391397496794,160.23793988584325,-21.460993168988264,32.41310035845787,8.42990277425209,1280.7923999349837,0.2063384273273049,-5.172259913332391,-0.6725929903397252,0.1478842279411765,9.435736874999996
2,20260623,moderate,M4,True,,7017.452295927905,0,34.815600286686134,-109.99493208710491,26.30898242698032,125.83902856830906,-10.259606857310688,18.212650905730687,19.621997472934996,1461.0738968790374,0.0,0.0,0.0,7013.721949717463,0,35.10464815491958,-109.64372347532972,26.594842384351033,121.28995862530984,-9.420402202828429,19.088346517417413,9.301004612610736,1429.4585983870757,15.2766924328913,34.15111955227176,7.950083838945075,7.460692420883788,10.550473125000003
3,20260624,moderate,M4,True,,7104.460047208779,0,38.075355673538915,-129.22878015967595,50.235626181531664,159.50612741352094,-35.70994482688414,21.9172143714897,-36.91023290209447,1593.3048479601027,0.0,0.0,0.0,7102.872806322375,0,38.13940969556331,-128.76735978392108,49.40520924467547,156.64097385467497,-34.952487701066566,21.81665264181791,-35.58698935644575,1592.1457819587472,6.096318836382797,23.065235350816177,-18.811829165764607,3.174481772806758,10.6203625
4,20260625,moderate,M4,True,,6952.367630361463,0,37.24348544858001,-126.3750498591329,55.61922534671252,145.5048214461637,-35.60789514229627,17.73490712890585,-37.857933559895145,1536.5884556638905,0.0,0.0,0.0,6951.202594810021,0,37.273726778606544,-126.315521433577,55.15738850443636,143.5116322736244,-35.49961233244212,17.852132249413124,-34.52897045500454,1525.6464987574457,4.9536227657875,18.807735507342937,-18.188632444170164,2.330071102884176,11.327860832999995
5,20260626,moderate,M4,True,,7123.779205847728,0,35.57394563293169,-134.45834332796127,46.55740337614956,157.1069018081565,-25.46810547395725,20.618820304967283,-4.3865582748233685,1519.5201161256227,0.0,0.0,0.0,7123.411310908503,0,35.54258762129409,-134.32054724394013,46.74836467896903,157.96826293311415,-25.80940591311684,20.427629587560354,-3.3241149453077217,1512.5930110140223,12.349556535359412,-10.288595383565449,-2.968700338798668,0.735789878450305,11.156618541
6,20260627,moderate,M4,True,,6986.158651854157,0,36.916467579644866,-116.66476513523654,38.76370265354405,137.8974569173205,-4.927338106268097,24.111441872522445,-2.4336421935309716,1348.6751814210354,0.0,0.0,0.0,6985.955685699529,0,36.92079046994575,-116.41870936482236,38.66249339112397,137.20145115268795,-4.786557221715175,24.211802354588617,-3.516259908572998,1333.327132035321,1.508281799404106,3.5469736118751753,23.17610802154408,0.4059323092569684,11.488442375000004
7,20260628,moderate,M4,True,,7082.433583965086,0,36.90116893346498,-133.3074056836422,35.80769490145969,156.08731846669173,-19.40165449033764,23.4696871924535,-31.915362909400415,1451.4232942505162,0.0,0.0,0.0,7082.344568688449,0,36.933501413883185,-133.29090369198383,35.52603010824221,155.41189136766388,-19.38151861510005,23.524713204435745,-30.151066724423153,1449.8434948478591,0.3354856646578263,5.618613368180754,-3.600621718330044,0.1780305532738566,14.258204333000007
8,20260629,moderate,M4,True,,7193.287053749549,0,36.97846076443832,-133.71533176488416,23.16335426564153,155.8066138797832,-0.8792805619774405,25.49368254461651,-1.0787989305318748,1499.1973817133826,0.0,0.0,0.0,7188.278245576115,0,36.8030268238146,-132.9438026039618,21.881707597384548,157.041927135456,-1.1442323879286806,25.11211691348284,8.476137073015229,1383.8477739916418,88.79781800727964,-18.347940940842182,93.42040881481056,10.017616346867726,10.838157666
9,20260630,moderate,M4,True,,6941.16349925658,0,37.090737674161154,-141.44055309029807,43.18109665152998,172.8254991546973,-17.79418286128991,21.187875331787385,6.078907052466325,1409.8721755477402,0.0,0.0,0.0,6936.9904554661225,0,37.108453562657125,-141.3115502073202,42.34572213347705,168.99090567435198,-17.657222673598056,21.355957124264915,8.835161089433603,1341.4201588056044,68.18787889794736,30.936109491610058,43.2897571827409,8.346087580914173,11.713507292000005
10,20260631,moderate,M4,True,,7143.361892553352,0,34.52744775157805,-150.44066362853965,54.47139287138497,181.05572266360488,-17.51219755727117,24.41719492105746,0.0716682182775784,1368.2509298745838,0.0,0.0,0.0,7137.137783598398,0,34.31631955620089,-150.7513743417254,54.33591100134169,184.20776617392255,-17.98535937636228,23.454518933630055,4.052082425471659,1352.7327263175375,28.843823083615263,-23.52497022906254,105.62702226424084,12.448217909908635,13.709972500000006
11,20260632,moderate,M4,True,,6802.204374739325,0,39.12632848868858,-125.86806925359711,49.752587073314345,160.5315242725749,-36.812883554871995,22.664321015404347,-3.5450954765682217,1341.1444070607308,0.0,0.0,0.0,6801.865931117072,0,39.16167453500981,-125.83628274093778,49.492546564077806,159.55698557211738,-36.52619893974201,22.70604713624021,-3.3706479626511734,1340.0886008570192,1.04921383907356,9.761864347756488,-0.7245604657211798,0.6768872445063607,7.971163750000016
12,20260633,moderate,M4,True,,7027.349213280942,0,35.88318864764178,-131.24836762645296,51.346690851813925,154.67463471769798,-35.84977857170843,21.23599051458357,-30.854040186635643,1440.0669766786764,0.0,0.0,0.0,7027.323300312462,0,35.88576815663675,-131.26436756846036,51.4230536833202,154.98474960277025,-35.86265347282442,21.237394096865824,-31.38097553284357,1440.4672471223266,0.098604088589762,-2.894196875779563,2.138273672650689,0.0518259369600855,14.031696165999987
13,20260634,moderate,M4,True,,7086.047498169977,0,38.033323775076184,-124.14253581245414,33.88443452926185,144.36922921365257,-12.20069670882858,27.84193275790824,14.293309529128296,1374.3381498320437,0.0,0.0,0.0,7083.881684536329,0,38.01235147201528,-125.72450965591192,34.44681384237341,149.49035673458022,-13.495548857353109,27.955844140144595,23.85106397493928,1361.9341681509916,8.171015440069887,-30.162014227149097,-2.7355110107833496,4.331627267296426,16.750653707999987
14,20260635,moderate,M4,True,,7083.1131196466795,0,37.96973162514373,-144.82606353869875,33.066924540205946,172.3510455123253,-13.454491835074055,22.14099358854598,-39.68784150690774,1555.085475426362,0.0,0.0,0.0,7077.608564805958,0,37.66658607061882,-145.24538364349584,32.07776636265242,173.50704713481971,-12.920138541847026,21.21417125975085,-33.56895835130244,1418.6955328277438,189.87421419226115,-12.04645896467857,-118.9576998593342,11.009109681443078,14.044331833
15,20260636,moderate,M4,True,,6944.996142865647,0,41.29459153334672,-114.38428586247328,23.127635308195178,141.4550084085809,7.2393790039892,25.20306024589228,39.83476089537883,1484.7012114723725,0.0,0.0,0.0,6944.452662427879,0,41.201622352532816,-114.155252384548,23.368911394712818,139.8533856426492,7.59410438781077,25.2350441625984,34.708308663461516,1428.6111794264616,32.53926155071072,10.500668300301315,19.713856042869352,1.0869608755365334,16.704081625000015
16,20260637,moderate,M4,True,,6891.745298476625,0,35.12390838631277,-105.4106282671679,17.06515868221642,125.04766710104984,10.678165029654547,20.57224790912539,-45.69173359124479,1305.0785240203816,0.0,0.0,0.0,6890.175764462483,0,35.043053078239595,-105.04110606829184,16.16958717829433,126.15157242685804,10.606701553257196,20.135517850889784,-39.257681489502254,1259.7360643510967,33.35720835292499,-12.50262581827747,46.97038164600027,3.139068028283873,13.691787957999992
