traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
0,20260621,strong,M4,True,,7083.764425145093,0,37.233181022152806,-154.14977946717107,57.60281598112738,185.6808645520611,-36.43932366418476,19.391218969929636,15.938292260913736,1608.636266964968,0.0,0.0,0.0,7072.124951830372,0,37.177568723304056,-153.9339413518974,56.84814743948127,179.45619024124065,-34.02678245885483,18.893061706397535,2.184932225890608,1582.749987849724,44.92539997951334,57.898062597353025,-56.11980432906312,23.27894662944163,20.877855542
1,20260622,strong,M4,True,,7035.553878423053,0,40.962363379898925,-135.4496439440302,41.80390395271023,158.08720163899034,-20.59186921100249,32.486310227652446,8.074034443340663,1332.220891654648,0.0,0.0,0.0,7034.531922061085,0,40.982128313371334,-135.15477944058284,41.60584051874411,155.6389565141951,-20.112691226551632,32.24339589269679,6.4954338252570984,1336.149112663096,3.091508168520075,19.968046652900103,2.011282032531455,2.0439127239351365,7.997224041000003
2,20260623,strong,M4,True,,7079.863088991672,0,34.948038389812766,-107.43301060420782,23.0008518486911,120.49359460545084,-8.44001202458483,18.23231038421744,28.70234942308196,1519.3134414592632,0.0,0.0,0.0,7070.80925524003,0,35.408330691422144,-107.21350614366216,23.911462659756463,113.41755389876636,-7.617347818843449,19.586340192120023,13.87854234801197,1454.7470808473036,39.403172621325574,55.56127945287482,19.684881459035505,18.107667503283665,8.693871916999996
3,20260624,strong,M4,True,,7187.679288245091,0,38.05217183114119,-128.97943587328928,50.92432674048644,159.4521239799332,-36.12849975979628,21.64027338948917,-42.70443592863961,1681.686997390818,0.0,0.0,0.0,7180.8301932594295,0,38.13626743995128,-127.91983477963772,48.956325220370445,153.19806153264284,-34.54829337411391,21.377452364466993,-37.34657867201725,1660.22476657523,28.616831585544308,49.467361119912105,-43.20993592371752,13.69818997132279,9.639837542000002
4,20260625,strong,M4,True,,7011.365576000961,0,37.37012319470092,-126.54127449060172,57.22886688119948,145.42700514958557,-35.901158703214406,17.946409693390187,-47.40216766714402,1592.1517782172425,0.0,0.0,0.0,7006.660516311145,0,37.43065126707962,-126.4190938211426,55.881016426664814,141.18866214385892,-35.63533923987223,18.188514375377267,-37.99520205910037,1556.692392529381,21.339778217667416,39.40248027114062,-41.15523589871673,9.410119379630489,9.816870834
5,20260626,strong,M4,True,,7190.988210082694,0,35.60845945216484,-134.61746725773338,45.803707630669464,158.55237747107793,-25.227789126051285,20.7426492309136,-3.9081768832358823,1577.838650750828,0.0,0.0,0.0,7189.633398284962,0,35.53745200145091,-134.81925070587008,45.0822246738943,156.55589737288122,-24.33221254627272,20.601819569077932,-5.937967088561657,1515.3208669218122,62.35966306842881,17.373378840589893,15.62626217517343,2.7096235954650183,11.692491084000004
6,20260627,strong,M4,True,,7079.8792079616,0,37.05123042556165,-116.14500758551604,36.16900712369545,138.103344404017,-3.195482248715155,24.27911609931183,7.907155223256374,1425.5466704771152,0.0,0.0,0.0,7077.519036691874,0,37.02632614930419,-115.51925024461002,36.74401799606388,133.91710037498586,-2.767245474276097,24.259128861294332,0.3596272058994694,1415.1305227556102,8.449940489515997,28.634817632067232,0.2122470991300007,4.7203425394509395,8.00988516599999
7,20260628,strong,M4,True,,7133.668198322289,0,36.98116361886349,-131.61430898544026,32.76035120902735,153.90284625199325,-15.844178707394413,23.175487866374272,-41.919464145225014,1509.2231713429112,0.0,0.0,0.0,7130.544322518386,0,37.13527287134262,-131.50107615874884,30.976159668171576,149.63305044895966,-15.854320465230533,23.47947551462917,-29.9218940683422,1486.4881018473334,12.899421602757275,34.80641628635835,-22.178389384595334,6.247751607805185,11.234818915999996
8,20260629,strong,M4,True,,7259.931278480779,0,36.99301331131881,-129.1827665830007,18.93477825230807,150.9703034162841,0.8006272386408357,25.475978714771554,12.142525186761716,1557.6123052196954,0.0,0.0,0.0,7253.032600848163,0,36.761680866137525,-130.13781660357137,19.523048228453487,149.69807803437587,0.7800881209929945,24.157097784382017,8.270764165436917,1424.1351508664518,128.12688600899148,16.615168823441003,125.69893179910562,13.797355265232907,8.870107916999999
9,20260630,strong,M4,True,,7006.193881030858,0,37.53373669281762,-142.54825463480103,40.56084721269965,177.89433786234062,-14.076901087913246,22.432870575578097,12.19600057173482,1445.5772502891657,0.0,0.0,0.0,6993.702196885292,0,37.35127240025784,-141.3232968523687,39.12876853120844,169.24971553641808,-14.40658339464459,21.962505249033548,17.954012760106647,1268.5148104207487,190.21950094338504,54.30072842672735,43.26712774265554,24.983368291132138,13.19162162500001
10,20260631,strong,M4,True,,7212.489137559685,0,34.89404179653773,-143.76865115367394,51.268329808601855,172.4046003165836,-15.749363764094529,24.385580726708312,6.19353926530801,1442.8168664497505,0.0,0.0,0.0,7205.52639698489,0,34.712911311017656,-144.0194667052501,50.807632593535146,172.0355648671118,-15.601731276690902,23.291283934827543,5.526090855243379,1376.1837995261094,82.93059015657913,2.171877713937888,126.33960712302832,13.925481149590269,13.625385541
11,20260632,strong,M4,True,,6892.612205168998,0,38.156666250350035,-136.03840616313389,49.463877156884394,177.25896249471415,-36.17335854711953,21.917292192480307,-7.37561597604164,1392.8275326874823,0.0,0.0,0.0,6890.14569244017,0,38.244659312288555,-136.017420081088,49.04607546909145,174.46431632159465,-35.22863328331956,21.936384110601484,-10.936854141815813,1387.2156053633755,7.782137270313859,26.13135682378797,-6.514173818906475,4.933025457656186,8.065386207999993
