traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
0,20260621,weak,M4,True,,6950.202540850438,0,36.7660062648946,-158.92676286766843,58.394457419824995,193.55814234873665,-35.92113813002312,18.410738648789255,6.2083195017694806,1498.7458778841485,0.0,0.0,0.0,6945.212020451987,0,36.78609565347245,-158.6941903437727,58.766228037675496,190.8942882370918,-35.3990889929437,18.122873104808253,0.7703034013126699,1523.8401974092358,8.736326706303393,22.183105385360925,-108.49693291618222,9.981040796901652,21.122378249999997
1,20260622,weak,M4,True,,6928.923963665582,0,40.71120523392032,-135.6020931289378,43.16687039496786,159.33242685274163,-21.02147792613075,32.100651466707696,5.885815793710466,1253.3735186068316,0.0,0.0,0.0,6927.813894696523,0,40.6389507890365,-135.8957162181452,43.38992618804942,161.68628561552785,-21.594248043135988,32.21657989533925,8.518324586839677,1244.492192135676,2.9470602460479087,-19.48786308174199,-2.5763743974912696,2.220137938118569,8.139274583999999
2,20260623,weak,M4,True,,6967.204180048733,0,34.95754761072057,-110.25307431826724,27.102141987947004,126.48270740879708,-10.450686039285056,18.344278214940022,16.029369908230617,1421.0936600193525,0.0,0.0,0.0,6965.683011254588,0,35.14161910140514,-109.9311377389282,27.289342865231948,123.57805294008546,-9.922130891625924,18.86502307998384,9.923378067874214,1410.806429297918,5.7736980520847085,20.744005949091353,-11.258725291379502,3.0423375882910477,21.57811925
3,20260624,weak,M4,True,,7049.524145765921,0,38.12378735461875,-129.27324779179082,49.92910458577189,159.37789962705608,-35.600708991306036,22.23824638018354,-33.374240752781326,1534.524312105441,0.0,0.0,0.0,7049.329445965867,0,38.14880062770836,-129.11762391792553,49.66280566078978,158.40107083280773,-35.33388137986134,22.212271554530943,-33.174347405152865,1535.582559718079,0.704162854525244,7.909755127266175,-5.906666588273626,0.3893996001079358,10.478488167000002
4,20260625,weak,M4,True,,6913.055330663432,0,37.21361101551352,-126.50148042595288,54.263056475566415,145.9289214360202,-34.769931996552415,17.665834124225693,-32.66984128195515,1500.4671191823272,0.0,0.0,0.0,6912.814772123757,0,37.233442383068756,-126.44597146589612,54.10954623763144,144.99786172102097,-34.72060804356927,17.731560458835194,-31.626527925748217,1497.016830135634,0.9789661181597148,8.332729903531058,-7.431249934362918,0.4811170793491328,9.670955166
5,20260626,weak,M4,True,,7072.037735893123,0,35.85530641952066,-129.49631983915108,46.171103144030205,149.52554912943472,-26.289683433620674,20.670355917834204,-2.5866603226009777,1477.2706879412576,0.0,0.0,0.0,7069.201486655571,0,35.73416335575475,-130.09988754603515,45.83544184428515,149.45830120407615,-25.97876939675526,20.020452844972965,-2.9155859554071535,1361.109645620953,144.10824832626824,0.2122403140633842,20.217748971978914,5.672498475103566,12.457820167000008
6,20260627,weak,M4,True,,6926.497445007482,0,36.81405186217497,-116.78772504318472,39.575573295460174,137.59965166416484,-5.326416550814177,24.119861114080575,-7.373813425953362,1297.362586672899,0.0,0.0,0.0,6926.13328338081,0,36.77699385666186,-117.00235197705152,39.38940038382775,139.08730515213222,-5.573015068023734,24.008239750225663,-3.7530161258240455,1297.3770388699338,1.1535461567459668,-10.42372593677538,0.5433614229438554,0.7283232533445698,11.097518041
7,20260628,weak,M4,True,,7048.456435195305,0,36.91911008171203,-133.65406994734036,36.596652122925576,156.85885541825238,-20.416367082845923,23.93043017463907,-27.931575403159005,1408.957711300444,0.0,0.0,0.0,7047.410753526123,0,36.75747177938515,-133.84622856673636,37.20384593158661,158.2923064669715,-20.345576497127592,23.56263149607632,-31.58920623518314,1400.6408516810864,1.5578162969900609,-9.852659778040456,-47.5707603235725,2.0913633383643173,21.897979084
8,20260629,weak,M4,True,,7148.03635295047,0,37.09883999459103,-135.3543123404476,26.804931939564,157.02096597396354,-2.6805470078375233,25.666521502242865,-12.831754061931669,1461.6459805003087,0.0,0.0,0.0,7144.567007463476,0,37.00189583401692,-133.86739086964064,25.4633741034307,159.69277016025586,-3.1375713558217164,26.23920076991961,-0.9875688788429468,1426.9830223901456,12.8578358986164,-36.73577752602906,0.6913150850691008,6.938690973987832,8.605878750000002
9,20260630,weak,M4,True,,6890.437347567133,0,37.06588157763998,-141.34943108282354,43.33308614005054,172.43254645559068,-18.30397651689695,21.053530921496765,6.529126781071615,1372.5952016970275,0.0,0.0,0.0,6889.307665132941,0,37.085113764412704,-141.28695562940692,42.87518628962494,170.67026381447468,-18.16469951302301,21.18289596003249,7.825137060051839,1338.5908467090185,33.5183090742308,14.420120671295118,28.541469299018907,2.259364868383273,15.45393433400001
10,20260631,weak,M4,True,,7095.454793383895,0,34.320449121963485,-151.8665497054429,52.977666976743386,183.43403666635535,-15.778912395954096,24.47194668932292,-4.21131928426318,1318.281233249782,0.0,0.0,0.0,7089.60997894679,0,34.02176248474104,-151.02275342924662,53.340942934872,186.91013042401292,-16.530056449199307,23.639515963244428,-1.5946042735551236,1315.735667336651,16.116431423370315,-39.03765555989738,1.3166431259035345,11.68962887421003,7.899679499999991
11,20260632,weak,M4,True,,6755.050213324469,0,39.221898143474974,-125.9789714884948,50.81774783752334,160.17522944337713,-38.07573354583779,22.89329275036183,-0.998458429820996,1302.995174523801,0.0,0.0,0.0,6751.39761926083,0,39.22908004055971,-126.68686926216392,51.68045740388679,161.29764814246982,-38.56358432710759,22.74588960429711,-2.535107969064257,1294.0974556462293,1.812189145432746,-2.434238816248719,-94.95892833005838,7.305188127278598,16.569478457999992
12,20260633,weak,M4,True,,6988.184287952175,0,35.784982028833035,-131.83400642359263,50.788276191403625,155.4516061550152,-35.657738824636304,21.408950420282316,-26.759214944947153,1397.8569273172498,0.0,0.0,0.0,6987.324326489643,0,35.772820418158275,-131.8509913245201,51.33494250864739,156.94746076051968,-35.81952211082109,21.374740927222906,-29.6478376587684,1393.2418531101052,2.9967813144586657,-15.638945318246876,-9.785300136983269,1.7199229250636563,11.496048083000003
13,20260634,weak,M4,True,,7036.609934686028,0,38.06868144464752,-121.69759806134944,33.45007044155419,141.7900245568129,-11.371304742211857,27.34708790099011,7.982245868067873,1351.7476047324576,0.0,0.0,0.0,7032.836844024966,0,37.967959953469006,-123.35957754852222,34.145513464944095,147.8537915141492,-13.141462872440284,27.3226876290262,21.73544415674232,1337.52363369338,13.835827124998591,-38.88608916440656,-15.467117125936724,7.546181322124539,8.810248083000005
14,20260635,weak,M4,True,,7030.8598086332495,0,37.773119185875395,-144.79323346388296,32.67163327213682,172.5956798480457,-12.47874931829413,22.164588810033443,-41.32915351891645,1499.306243382957,0.0,0.0,0.0,7023.677340876962,0,37.49715138114323,-145.63595907657455,32.27551841433709,176.157175336327,-12.85234844474093,21.291208108323453,-32.26330829605998,1415.1968495407475,139.3520162543577,-28.983658144302947,-122.21328401218956,14.364935512574448,11.66792000000001
15,20260636,weak,M4,True,,6882.9732038215825,0,41.28142954955944,-115.0213972911511,24.34097559456432,141.55522191370866,7.4144666390727245,25.230151856223035,31.09661988155762,1428.7544836583345,0.0,0.0,0.0,6882.866649229165,0,41.26824296977187,-115.2397045460278,24.066917932988133,142.68646607515635,7.176539365757565,25.180402688720815,35.289398832974065,1429.2246891118357,1.2561991115741358,-7.015762516665128,-1.4723638948675175,0.2131091848350479,9.527404999999987
