k,age_ka,X_old,X_new,Vhat_old,Vhat_new,regime_switch,m2_ios_contribution,m2_loo_valid,m2_nit,m2_seconds,m2_parameter_shift_relative,m2_start_kind,m2_warm_start_excess_nll,m3_ios_contribution,m3_loo_valid,m3_nit,m3_seconds,m3_parameter_shift_relative,m3_start_kind,m3_warm_start_excess_nll,m4_ios_contribution,m4_loo_valid,m4_nit,m4_seconds,m4_parameter_shift_relative,m4_start_kind,m4_warm_start_excess_nll
0,80.0,1.279574187805549,1.1064477826035395,-8.65632026010048,5.426832793421421,False,0.0055288285705525,True,6,0.1340943750000001,0.006715579748365,full fit warm start,0.0,0.0053936968095866,True,4,0.1342706250000001,0.0170002273033169,full fit warm start,0.0,0.0055201420840296,True,38,1.182569,0.0177946575412349,full fit warm start,0.0
1,79.98,1.1064477826035395,1.214984438471968,5.426832793421421,0.5563339732378436,False,0.0002101384713601,True,2,0.0481953330000002,0.0001852394580018,full fit warm start,0.0,0.0002207893514163,True,2,0.0600694170000002,0.0002144837817939,full fit warm start,0.0,0.0010896517951297,True,19,0.5686995829999999,0.0077390569226024,full fit warm start,0.0
2,79.96,1.214984438471968,1.2261111179367248,0.5563339732378436,-0.6944556080333619,False,0.0002106054189421,True,1,0.0336390829999997,0.0002108589078727,full fit warm start,0.0,0.0002266248253088,True,1,0.0419318749999999,0.0002297496466807,full fit warm start,0.0,0.0009826949179352,True,16,0.6881849999999998,0.0065249819280787,full fit warm start,0.0
3,79.94,1.2261111179367248,1.2122220057760575,-0.6944556080333619,-0.3436439643881073,False,0.0002072699779511,True,1,0.0336974169999999,0.000208989565818,full fit warm start,0.0,0.000224260144376,True,1,0.0417032920000002,0.0002353724747372,full fit warm start,0.0,0.000970784599132,True,24,1.002050916,0.0066610233327681,full fit warm start,0.0
4,79.92,1.2122220057760575,1.2053491264882954,-0.3436439643881073,-11.172395949635616,False,0.0026760708716597,True,6,0.1044238339999998,0.0024765247278189,full fit warm start,0.0,0.0044665778333961,True,5,0.1329234999999999,0.02812501452861,full fit warm start,0.0,0.0168467182820419,True,65,2.547363084000001,0.0458887764653177,full fit warm start,0.0
5,79.9,1.2053491264882954,0.9819012074955831,-11.172395949635616,-3.2972508931348843,False,0.0003073243880979,True,2,0.0478974999999999,0.0002233684685427,full fit warm start,0.0,0.0003223971878281,True,2,0.059869667,0.0002595330359948,full fit warm start,0.0,0.0010572264895762,True,13,0.7852287499999999,0.0059400971024965,full fit warm start,0.0
6,79.88,0.9819012074955831,0.9159561896328854,-3.2972508931348843,4.548317577417871,False,5.6789402202550576e-05,True,1,0.0336002500000001,0.0001083836123144,full fit warm start,0.0,7.877490201479986e-05,True,1,0.0415680000000002,0.0004837263770484,full fit warm start,0.0,0.0020735334003925,True,28,1.0823051659999994,0.0172877150463524,full fit warm start,0.0
7,79.86,0.9159561896328854,1.0069225411812428,4.548317577417871,6.275217804742739,False,1.6326469086447304e-05,True,1,0.0339794169999998,5.6602076637299017e-05,full fit warm start,0.0,2.6861758879892506e-05,True,1,0.0416065000000003,0.0003566659108054,full fit warm start,0.0,0.001941323747955,True,29,0.8365802500000008,0.0166875880229056,full fit warm start,0.0
8,79.84,1.0069225411812428,1.1324268972760976,6.275217804742739,7.735842555459516,False,5.8303833648576386e-05,True,1,0.0352539579999997,0.0001077643676265,full fit warm start,0.0,7.14442125877568e-05,True,1,0.0416037080000002,0.0004958114685024,full fit warm start,0.0,0.0032361728520342,True,36,1.2033042080000005,0.0189816820136608,full fit warm start,0.0
9,79.82,1.1324268972760976,1.287143748385288,7.735842555459516,2.341734690019903,False,0.0002521862932964,True,1,0.0338513749999997,0.0002322486838775,full fit warm start,0.0,0.0002030410924853,True,2,0.0596795830000003,0.0001935551448341,full fit warm start,0.0,0.0011934058704512,True,29,0.8810144160000011,0.0088123232513545,full fit warm start,0.0
10,79.8,1.287143748385288,1.333978442185686,2.341734690019903,2.1938774721666388,False,0.0001327443363168,True,1,0.033703166,0.0001604821748588,full fit warm start,0.0,0.0001496990619709,True,1,0.0415493749999997,0.0003510497295658,full fit warm start,0.0,0.0012336856985162,True,40,1.5225295830000007,0.0095423729236833,full fit warm start,0.0
11,79.78,1.333978442185686,1.3778559916290187,2.1938774721666388,-0.7806349683856961,False,0.000223360404711,True,1,0.0341922079999998,0.0002157034571251,full fit warm start,0.0,0.0002358643099031,True,1,0.0415189159999997,0.0002332375526305,full fit warm start,0.0,0.0011222382573796,True,21,0.9797824160000008,0.0070765283198759,full fit warm start,0.0
12,79.76,1.3778559916290187,1.3622432922613048,-0.7806349683856961,3.867286525210556,False,0.001549354931174,True,4,0.0764994169999999,0.0019646260860217,full fit warm start,0.0,0.002402338630604,True,4,0.0960006670000002,0.0160280862666285,full fit warm start,0.0,0.0027098141804868,True,73,2.473645915999999,0.0235555051904352,full fit warm start,0.0
