n_valid,rep,contrast,n_exceed,p_upper,cumulative_time_hours
1,0,0.1290401743535767,0,0.5,0.008283927291666666
2,1,10.64147277468328,0,0.3333333333333333,0.027064523402777776
3,2,30.44564855644785,0,0.25,0.044604653113611115
4,3,12.687239998642326,0,0.2,0.07000286290527778
5,4,605.0563521589374,1,0.3333333333333333,0.09542744878472222
6,5,19.71317420100968,1,0.2857142857142857,0.1132266232986111
7,6,4.974442845144949,1,0.25,0.13003480168972223
8,7,17.72159088047556,1,0.2222222222222222,0.1499231518863889
9,8,28.281116422524065,1,0.2,0.16840035708333334
10,9,4.1279741764083155,1,0.18181818181818182,0.1903468113772222
11,10,4.206027913693106,1,0.16666666666666666,0.21620447373833335
12,11,8.839315665620234,1,0.15384615384615385,0.23607447807861112
13,12,7.940775161350757,1,0.14285714285714285,0.25033470998833335
14,13,15.372035708856856,1,0.13333333333333333,0.26453502653944444
15,14,23.579310466429888,1,0.125,0.2783129667013889
16,15,4.587521620174812,1,0.11764705882352941,0.2921428847916666
17,16,36.71685684158001,1,0.1111111111111111,0.31542230906249996
18,17,11.564073705223564,1,0.10526315789473684,0.32751635574083326
19,18,28.843501395373096,1,0.1,0.3424093414699999
20,19,42.861550996989536,1,0.09523809523809523,0.3609517600927777
21,20,6.488183850367932,1,0.09090909090909091,0.3793595357063888
22,21,11.032654346363415,1,0.08695652173913043,0.3965007551508333
23,22,4.535519823479262,1,0.08333333333333333,0.4120880797458333
24,23,11.653849810067186,1,0.08,0.4256555165744444
25,24,12.66129318001731,1,0.07692307692307693,0.44189423342638884
26,25,15.971173753556286,1,0.07407407407407407,0.45914693048666666
27,26,8.536468833190156,1,0.07142857142857142,0.4776686322227778
28,27,70.00011408885075,2,0.10344827586206896,0.48988161994250007
29,28,4.4825536187854595,2,0.1,0.5053186284030556
30,29,22.73176377327036,2,0.0967741935483871,0.5327643888197223
31,30,558.3294565938268,3,0.125,0.5505614003127779
32,31,32.330791676700755,3,0.12121212121212122,0.5652107427086113
