rep,seed,model,success,fit_success,ios_success,convergence,error,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_min_global,q_min_observed,q_min_path,q_median_path,time_sec,ios_T_N,ios_sampled_ios_sum,ios_formal_T_N_complete,ios_expected_n_transitions,ios_n_transitions,ios_n_valid,ios_n_failed,ios_success_rate,ios_median_ios_contribution,ios_max_ios_contribution,ios_min_ios_contribution,ios_total_seconds
0,20260603,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,68.04610026502144,-113.06446913466554,18.162688666299637,112.85843040333197,-14.494896202356228,27.166429138004116,43.79910967057152,5023.224354358188,181.55375360865887,-140.45877946427257,-113.2274222478524,8059.268193310403,5005.570561894431,5005.570561894431,5005.570562773423,5352.643390863179,3092.82729625,22.689634847623083,22.689634847623083,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009172157500083,2.9226198850979372,0.0002761627614487,3004.279765137005
1,20260604,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,72.04849198038471,-112.46151448280337,-2.1144033503347988,106.24058757496124,16.7260233471801,66.83234509026029,312.5528356429648,4320.915826553316,182.86337350860464,-205.84385481915487,-1102.1998965450512,8308.407947376149,0.0002731819386099,2095.155260015501,3002.881590306893,4709.651266868764,2786.793982791,90.25186194329446,90.25186194329446,True,2499.0,2499.0,2499.0,0.0,1.0,0.0010918403450537,57.22287700621911,0.000332538122171,2697.3084131040055
2,20260605,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,71.30969770016341,-67.72185578610303,9.10482709993984,42.04077069592639,-14.780198309519283,40.4301433046152,222.43265575087315,4368.4132115359735,463.2415045054699,-273.70729191456843,-752.9213955567059,8030.961473619301,4062.4763393140865,4062.4763393140865,4062.4770032113015,4795.014007444046,2935.67521525,22.705833047164248,22.705833047164248,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009823069322747,2.746511484950595,0.0003552681067948,2847.1841423219976
3,20260606,M4,True,True,True,1,,asymmetric drift with position-velocity diffusion,71.83571302853751,-1.0757702780038874,-54.907304170796586,16.980675941975996,-10.97256846902718,62.87229167771904,693.0291408959597,4917.612543853827,1217.6332821705391,-553.3729117805623,-3049.8614207686546,8066.887869375249,3007.8309162294636,3007.830916229461,3007.8309373200727,4521.356723565486,2971.0223081669997,87.10081064853424,87.10081064853424,True,2499.0,2499.0,2499.0,0.0,1.0,0.0008163147624768,65.04726724451393,2.899793274258045e-05,2878.760688660004
4,20260607,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,69.14125229284183,-111.74802902397408,-1.3809002137133506,111.50946637600543,0.4457891186960695,44.56478328966523,195.29646958329536,4640.5467885873795,134.0514234519096,-154.58295683296396,-338.7148270305389,8175.19505552695,4426.58461814559,4426.58461814559,4426.584888911648,4960.586110007222,2517.7128645000003,33.71941437201835,33.71941437201835,True,2499.0,2499.0,2499.0,0.0,1.0,0.0006843922699366,10.550329777500217,1.9248468335675284e-05,2429.5860765320003
5,20260608,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,72.14578395733369,-0.0821130491657485,-22.791310217021657,2.982175148892311,-62.90029580565794,52.97302321524549,666.8724738878406,5428.653387243133,1953.0407223085515,-643.2992197202503,-4049.217092649305,8052.4905562544845,3329.854463580324,3329.8544635803228,3329.8577054643774,5252.296224624536,12096.499184375,26.120288044754076,26.120288044754076,True,2499.0,2499.0,2499.0,0.0,1.0,0.0113844120291561,12.570151200675989,-0.7626941869466535,12005.823832025017
6,20260609,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,72.7464088480146,-108.14457619029812,9.972594664632174,89.74080009632534,-18.234262523073163,42.258878163222974,94.14531441283664,4504.5823192661155,586.521812518379,-314.869838601838,-350.73718521102785,8100.781390864564,4452.14753744549,4452.147537445491,4452.147543334705,5108.31787266207,3079.7213940829997,62.764117901703784,62.764117901703784,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009903259618204,25.597744651128153,0.0003773815809826,2991.716209603993
7,20260610,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,70.576547360063,-58.063290731394275,-22.09692801392252,23.20877074294568,18.65507343390348,14.258123111645933,70.65722642452006,5291.778871968036,238.75524651224953,-116.69107418004218,-289.13579948419726,7874.324680997953,5204.242041087256,5204.242041087256,5204.242048974894,5440.053837384174,2924.8907816250003,19.6324940430873,19.6324940430873,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009803977545046,1.4515876012352322,0.0003501190307657,2836.9968220079854
8,20260611,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,73.65161389916906,-91.28061900012268,25.1725796817545,73.75581240178421,-14.626738568378544,64.37817008359328,180.8941188189193,4331.865186985356,363.7929530483147,-289.64687184448303,-1206.4104529231086,8303.403416475856,0.0002752378513832,1474.2699014992004,2611.8796874607597,5112.2089038056165,3143.8814243750003,88.3788265587708,88.3788265587708,True,2499.0,2499.0,2499.0,0.0,1.0,0.0010204358345453,47.60084349191747,0.0003599092910633,3055.3831305680155
9,20260612,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,70.23374403999033,-62.48325976488152,-30.721722429467988,27.730535755960073,15.818382848420669,48.05639853965166,264.94084871413304,4304.505383800239,143.0799293063872,-165.76385953727277,-503.0753210237171,8061.969683521452,0.0002729755506152,3832.2133587016096,3854.9325970664618,4540.247563940615,3615.039554458,41.01711682732979,41.01711682732979,True,2499.0,2499.0,2499.0,0.0,1.0,0.0010970345173699,8.270337579157712,0.0003312322914719,3526.1640804909835
10,20260613,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,67.40896364480784,-77.07757687713872,-5.109241887498156,50.51845906653734,-9.68645509582461,37.66082641796247,82.46020885767801,3959.132670457445,451.8988628223464,-260.91289451636555,-285.64072833541456,7961.178513987219,3913.99501223542,3913.9950122354194,3913.9951506577313,4477.736330436482,3218.773240375,22.663096394027427,22.663096394027427,True,2499.0,2499.0,2499.0,0.0,1.0,0.0010071517498939,1.847775466254916,0.0003179505033767,3130.6467052890057
11,20260614,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,74.16400022968499,-71.83215471488761,49.55958712225123,58.10985357630664,-47.91428175006356,53.26789921593467,-178.13185392547032,3501.206243800687,1156.0453640123949,-485.3412382379026,-11.5499635178608,8001.7904192702445,0.0002724387059345,1824.0002172537384,2368.3497069802434,4777.05468891349,3938.619294708,91.3509110750176,91.3509110750176,True,2499.0,2499.0,2499.0,0.0,1.0,0.0014596652353557,27.27433497175075,-0.5297236584038325,3848.304704365
12,20260615,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,68.45427983440426,-93.97982431471794,17.987946197963623,86.58735872481867,-20.619455965998178,51.36712658564068,117.01959945052144,3586.652334011527,329.38186042686544,-260.1489027418071,-299.4998697496327,8000.693260264359,0.0002738452749326,3512.7066963011275,3515.604780505421,4115.0171800859935,3457.14495525,29.57182674394201,29.57182674394201,True,2499.0,2499.0,2499.0,0.0,1.0,0.0011416798326955,7.654639750333125,0.0003803716175543,3367.508705132994
13,20260616,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,71.99389003872372,-73.43288308917684,-33.48363147088935,33.121209162566785,24.42175750236604,47.96755853259491,365.0712874040636,3961.562713306858,1239.9999197190189,-487.769489531828,-1856.1569626146895,7889.665391714602,3266.941968766065,3266.9419687660657,3266.944433507362,4200.233325398094,2895.2363077500004,33.744828957258335,33.744828957258335,True,2499.0,2499.0,2499.0,0.0,1.0,0.001326704357127,5.528425471888777,-0.700818237189246,2805.8316370150105
