rep,success,seed,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,convergence,time_sec
0,True,20260603,,M4,asymmetric drift with position-velocity diffusion,68.04610026502144,-113.06446913466554,18.162688666299637,112.85843040333197,-14.494896202356228,27.166429138004116,43.79910967057152,5023.224354358188,181.55375360865887,-140.45877946427257,-113.2274222478524,8059.268193310403,0,3.66813
1,True,20260604,,M4,asymmetric drift with position-velocity diffusion,72.04849198038471,-112.46151448280337,-2.1144033503347988,106.24058757496124,16.7260233471801,66.83234509026029,312.5528356429648,4320.915826553316,182.86337350860464,-205.84385481915487,-1102.1998965450512,8308.407947376149,0,4.399730957999999
2,True,20260605,,M4,asymmetric drift with position-velocity diffusion,71.30969770016341,-67.72185578610303,9.10482709993984,42.04077069592639,-14.780198309519283,40.4301433046152,222.43265575087315,4368.4132115359735,463.2415045054699,-273.70729191456843,-752.9213955567059,8030.961473619301,0,3.0394225410000004
3,False,20260606,,M4,asymmetric drift with position-velocity diffusion,71.83571302853751,-1.0757702780038874,-54.907304170796586,16.980675941975996,-10.97256846902718,62.87229167771904,693.0291408959597,4917.612543853827,1217.6332821705391,-553.3729117805623,-3049.8614207686546,8066.887869375249,1,7.068704583000001
4,True,20260607,,M4,asymmetric drift with position-velocity diffusion,69.14125229284183,-111.74802902397408,-1.3809002137133506,111.50946637600543,0.4457891186960695,44.56478328966523,195.29646958329536,4640.5467885873795,134.0514234519096,-154.58295683296396,-338.7148270305389,8175.19505552695,0,3.0509555420000005
5,True,20260608,,M4,asymmetric drift with position-velocity diffusion,72.14578395733369,-0.0821130491657485,-22.791310217021657,2.982175148892311,-62.90029580565794,52.97302321524549,666.8724738878406,5428.653387243133,1953.0407223085515,-643.2992197202503,-4049.217092649305,8052.4905562544845,0,5.823658583
6,True,20260609,,M4,asymmetric drift with position-velocity diffusion,72.7464088480146,-108.14457619029812,9.972594664632174,89.74080009632534,-18.234262523073163,42.258878163222974,94.14531441283664,4504.5823192661155,586.521812518379,-314.869838601838,-350.73718521102785,8100.781390864564,0,3.283264000000002
7,True,20260610,,M4,asymmetric drift with position-velocity diffusion,70.576547360063,-58.063290731394275,-22.09692801392252,23.20877074294568,18.65507343390348,14.258123111645933,70.65722642452006,5291.778871968036,238.75524651224953,-116.69107418004218,-289.13579948419726,7874.324680997953,0,2.9410219580000003
8,True,20260611,,M4,asymmetric drift with position-velocity diffusion,73.65161389916906,-91.28061900012268,25.1725796817545,73.75581240178421,-14.626738568378544,64.37817008359328,180.8941188189193,4331.865186985356,363.7929530483147,-289.64687184448303,-1206.4104529231086,8303.403416475856,0,3.299399375
9,True,20260612,,M4,asymmetric drift with position-velocity diffusion,70.23374403999033,-62.48325976488152,-30.721722429467988,27.730535755960073,15.818382848420669,48.05639853965166,264.94084871413304,4304.505383800239,143.0799293063872,-165.76385953727277,-503.0753210237171,8061.969683521452,0,3.420734375000002
10,True,20260613,,M4,asymmetric drift with position-velocity diffusion,67.40896364480784,-77.07757687713872,-5.109241887498156,50.51845906653734,-9.68645509582461,37.66082641796247,82.46020885767801,3959.132670457445,451.8988628223464,-260.91289451636555,-285.64072833541456,7961.178513987219,0,3.006866541000001
11,True,20260614,,M4,asymmetric drift with position-velocity diffusion,74.16400022968499,-71.83215471488761,49.55958712225123,58.10985357630664,-47.91428175006356,53.26789921593467,-178.13185392547032,3501.206243800687,1156.0453640123949,-485.3412382379026,-11.5499635178608,8001.7904192702445,0,4.555337082999998
12,True,20260615,,M4,asymmetric drift with position-velocity diffusion,68.45427983440426,-93.97982431471794,17.987946197963623,86.58735872481867,-20.619455965998178,51.36712658564068,117.01959945052144,3586.652334011527,329.38186042686544,-260.1489027418071,-299.4998697496327,8000.693260264359,0,3.4303501670000003
13,True,20260616,,M4,asymmetric drift with position-velocity diffusion,71.99389003872372,-73.43288308917684,-33.48363147088935,33.121209162566785,24.42175750236604,47.96755853259491,365.0712874040636,3961.562713306858,1239.9999197190189,-487.769489531828,-1856.1569626146895,7889.665391714602,0,3.8705876670000023
14,True,20260617,,M4,asymmetric drift with position-velocity diffusion,74.54317049090152,-74.70883118939867,6.392152205475189,38.138159551806744,-22.538200675196236,44.898179371532095,66.13409520806776,4574.899786012039,497.37767002457343,-298.87356419836135,-220.11730794591605,8085.06102454449,0,2.8075657920000054
