parameter,observed,mean,sd,q025,q50,q975,bias,relative_sd
eta,67.26743274284824,69.9701123465661,2.780267855160135,64.58535751112065,69.89857420714004,75.82216062198717,2.702679603717854,0.04133155885090216
a,-93.53609846452392,-88.83450548404753,22.372823890542787,-130.5202210337644,-89.49342497477843,-48.79003586854973,4.701592980476391,0.23918919281231601
b,13.18316033801224,5.218782855795385,21.60199885351929,-35.25469530568051,7.614208781459412,42.51096910648123,-7.964377482216855,1.6386054860633248
c,68.07460347945783,72.55860490178492,28.84532693236252,10.176256530367063,73.22338796880726,126.78595988337669,4.484001422327083,0.4237311046705821
d,-12.467355440448802,-9.559038347836404,16.097429394108982,-40.011840725623635,-10.097977235824834,24.48996259906906,2.908317092612398,1.29116631598413
alpha,63.49748485957926,50.424924429121155,12.775058272022195,28.511368020048206,49.52875881707566,75.33957842077876,-13.072560430458104,0.20118998886764478
beta,217.1448787821305,128.94472829069252,141.44233921729364,-131.28876471162397,127.38126428753642,386.9338227785253,-88.20015049143797,0.6513731293622079
gamma,4132.6419646903105,4143.941855055032,639.5383331645563,3056.5273294879307,4118.407174326115,5490.068865296801,11.29989036472125,0.15475290108091463
delta,228.04765836408205,474.5970953512828,392.05408945858755,51.17222812362633,383.4157146375752,1593.1718233192448,246.54943698720075,1.7191761242848036
epsilon,-240.59981348860177,-281.2901522166297,116.26433056199187,-541.3176161174606,-273.43383713050696,-94.61552739364835,-40.69033872802791,0.4832270186589309
zeta,-457.05493045352864,-548.5945474360569,675.3772700712518,-1853.4308844236357,-457.9733469974499,215.41525724734726,-91.53961698252829,1.4776719931695852
