traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
0,20260621,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.83812168051944,-96.57796932010768,30.508754100896592,113.37918284820424,-11.919141198765296,20.140122801211888,-20.38321378180575,1259.0148053371445,5.607430254118482,21.25411338232456,-10.755325106274713,-4092.302140253828,134.1835299229126,0.0696655207543737,1253.8575360049103,3.3094787919999993
0,20260621,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,36.78570884726946,-158.68260873784126,58.74854792043397,190.8886909172432,-35.37935186323942,18.128172839299086,0.7902236720054036,1523.6242865656886,8.697551932196344,22.120551525553648,-108.44344029788468,6945.212162417642,270.8404878332085,0.1406151979837522,1302.9963654978849,19.01077975
1,20260622,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.117005269726544,-100.02854101175696,20.9092671223288,123.94488787966075,-3.1905540706297013,19.993152145004355,24.0854449009465,1265.8797681796304,0.5591923625239202,-6.687306776951441,-4.028048147281154,-4160.754590086005,188.43653990566096,0.0977630258647762,1258.626003735522,4.582138333
1,20260622,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,40.63934919100634,-135.9025313669582,43.38787971793366,161.69833307974875,-21.590944168279215,32.21700883197613,8.521159809491015,1244.5071119755833,2.950868672485676,-19.500580717863016,-2.578879459937085,6927.813894371457,1109.341003994975,0.5755387639823644,1243.9437382183007,9.852948625
2,20260623,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.857239797476,-78.61162593667609,15.64808826245126,88.06931216767208,-0.9162492628097364,20.338854769842428,12.017324931131744,1257.709744573823,0.1674277273232252,2.1065572226383877,20.494532240620156,-4116.408263016318,122.03105029824148,0.062377792748235,1228.186093443377,6.849404833999998
2,20260623,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,35.14000681290419,-109.91149754604668,27.242985259678484,123.5559274847314,-9.852421613911453,18.865927783826997,9.91682186528692,1410.7022615250678,5.746784357587676,20.674257439325004,-11.184452515362755,6965.683696463006,208.776668321518,0.1067189679626507,1379.0374892407062,19.288106375
3,20260624,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.175095164576916,-77.77435453769999,23.13273403613892,93.57796626748268,-12.841517714532982,17.62572012747618,-10.173421267081547,1350.4242244016943,3.7173641316332984,11.505027668476975,16.757376600792814,-3908.0340179796663,178.28266836214436,0.0909455140308406,1318.758071361196,9.360995625
3,20260624,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,38.149410505076325,-129.11959158096624,49.66012884474224,158.40517388850105,-35.330582972461244,22.21194376904314,-33.17080154630405,1535.6182145843884,0.7046655170748795,7.912519406927462,-5.908186462822495,7049.329445511845,405.1164549132078,0.2066579133737979,1523.2344874063028,16.469636332999997
4,20260625,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.24005498028749,-76.41834006633495,25.025030705571307,86.93137812188414,-13.345032764998352,17.97995298996634,1.7505447735457305,1380.4489095693025,0.0159132772760272,-1.039770946354867,-0.0056994727672951,-4007.314060955049,153.2145250244052,0.0805967224841373,1380.3587487346897,5.8592264589999985
4,20260625,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.17933091118745,-126.12848698155538,54.67366378559816,144.67487365307295,-35.09608066979752,17.52688235179869,-31.70909302359958,1486.5460616314203,1.4602404329722356,5.463439750990895,-82.9924470630412,6911.249034639891,262.569576882094,0.1381216781984123,1328.0441852946783,26.80383558299999
