model,source,rep,barrier,lower_occupancy,upper_occupancy,n_switches,lower_wait_mean,upper_wait_mean,lower_wait_median,upper_wait_median
M2,observed,-1,0.139189375631117,0.5476,0.4524,45,1190.4347826086957,983.4782608695652,800.0,520.0
M2,simulated,0,0.139189375631117,0.4812,0.5188,71,668.3333333333334,720.5555555555555,180.0,260.0
M2,simulated,1,0.139189375631117,0.5296,0.4704,67,778.8235294117648,691.7647058823529,180.0,150.0
M2,simulated,2,0.139189375631117,0.47,0.53,63,734.375,828.125,110.0,270.0
M2,simulated,3,0.139189375631117,0.524,0.476,93,557.4468085106383,506.3829787234043,260.0,140.0
M2,simulated,4,0.139189375631117,0.7476,0.2524,44,1699.090909090909,548.695652173913,430.0,160.0
M2,simulated,5,0.139189375631117,0.644,0.356,66,975.7575757575758,523.5294117647059,240.0,280.0
M2,simulated,6,0.139189375631117,0.564,0.436,99,564.0,436.0,140.0,80.0
M2,simulated,7,0.139189375631117,0.3484,0.6516,79,435.5,814.5,120.0,170.0
M2,simulated,8,0.139189375631117,0.6804,0.3196,54,1260.0,570.7142857142857,260.0,170.0
M2,simulated,9,0.139189375631117,0.4752,0.5248,45,1033.0434782608695,1140.8695652173913,140.0,820.0000000000001
M2,simulated,10,0.139189375631117,0.5464,0.4536,70,780.5714285714286,630.0,260.0,260.0
M2,simulated,11,0.139189375631117,0.4504,0.5496,62,726.4516129032259,858.75,60.0,240.0
M2,simulated,12,0.139189375631117,0.5792,0.4208,65,877.5757575757576,637.5757575757576,120.0,80.0
M2,simulated,13,0.139189375631117,0.662,0.338,54,1225.9259259259259,603.5714285714286,520.0,320.0
M2,simulated,14,0.139189375631117,0.5208,0.4792,50,1041.6,921.5384615384615,220.0,760.0000000000001
M2,simulated,15,0.139189375631117,0.6912,0.3088,57,1191.7241379310344,532.4137931034483,200.0,100.0
M2,simulated,16,0.139189375631117,0.3512,0.6488,50,702.4,1247.6923076923076,300.0,600.0
M2,simulated,17,0.139189375631117,0.4688,0.5312,54,868.1481481481482,948.5714285714286,300.0,300.0
M2,simulated,18,0.139189375631117,0.6664,0.3336,73,900.5405405405405,450.81081081081084,180.0,160.0
M2,simulated,19,0.139189375631117,0.4584,0.5416,91,498.2608695652174,588.695652173913,250.0,130.0
M2,simulated,20,0.139189375631117,0.4868,0.5132,57,839.3103448275862,884.8275862068965,160.0,140.0
M2,simulated,21,0.139189375631117,0.4668,0.5332,58,804.8275862068965,888.6666666666666,140.0,170.0
M2,simulated,22,0.139189375631117,0.5268,0.4732,105,496.9811320754717,446.41509433962267,140.0,120.0
M2,simulated,23,0.139189375631117,0.6112,0.3888,59,1018.6666666666666,648.0,140.0,270.0
M2,simulated,24,0.139189375631117,0.4392,0.5608,46,954.7826086956521,1168.3333333333333,480.0,750.0
M2,simulated,25,0.139189375631117,0.4588,0.5412,58,791.0344827586207,902.0,140.0,730.0
M2,simulated,26,0.139189375631117,0.6628,0.3372,69,946.8571428571429,481.7142857142857,200.0,160.0
M2,simulated,27,0.139189375631117,0.4088,0.5912,59,681.3333333333334,985.3333333333334,260.0,330.0
M2,simulated,28,0.139189375631117,0.5636,0.4364,68,828.8235294117648,623.4285714285714,120.0,200.0
M2,simulated,29,0.139189375631117,0.4392,0.5608,57,757.2413793103449,966.8965517241379,160.0,440.0
M2,simulated,30,0.139189375631117,0.4652,0.5348,63,726.875,835.625,190.0,300.0
M2,simulated,31,0.139189375631117,0.5496,0.4504,59,916.0,750.6666666666666,220.0,210.0
M2,simulated,32,0.139189375631117,0.7276,0.2724,43,1653.6363636363637,619.0909090909091,820.0,210.0
M2,simulated,33,0.139189375631117,0.644,0.356,64,1006.25,539.3939393939394,330.0,280.0
M2,simulated,34,0.139189375631117,0.6004,0.3996,58,1035.1724137931035,666.0,200.0,170.0
M2,simulated,35,0.139189375631117,0.4772,0.5228,43,1084.5454545454545,1188.1818181818182,340.0,320.0
M2,simulated,36,0.139189375631117,0.5416,0.4584,63,846.25,716.25,490.0,250.0
M2,simulated,37,0.139189375631117,0.6068,0.3932,63,948.125,614.375,110.0,270.0
M2,simulated,38,0.139189375631117,0.542,0.458,61,874.1935483870968,738.7096774193549,200.0,460.0
M2,simulated,39,0.139189375631117,0.49,0.51,74,662.1621621621622,671.0526315789474,120.0,200.0
M2,simulated,40,0.139189375631117,0.4548,0.5452,107,421.1111111111111,504.81481481481484,100.0,210.0
M2,simulated,41,0.139189375631117,0.6108,0.3892,47,1272.5,810.8333333333334,810.0,300.0
M2,simulated,42,0.139189375631117,0.5704,0.4296,81,695.609756097561,523.9024390243902,140.0,60.0
M2,simulated,43,0.139189375631117,0.4872,0.5128,54,902.2222222222222,915.7142857142857,200.0,180.0
M2,simulated,44,0.139189375631117,0.5724,0.4276,69,817.7142857142857,610.8571428571429,280.0,220.0
M2,simulated,45,0.139189375631117,0.5208,0.4792,65,789.0909090909091,726.060606060606,180.0,200.0
M2,simulated,46,0.139189375631117,0.7284,0.2716,45,1583.4782608695652,590.4347826086956,280.0,160.0
M2,simulated,47,0.139189375631117,0.3936,0.6064,62,634.8387096774194,947.5,120.0,340.0
M2,simulated,48,0.139189375631117,0.6188,0.3812,66,937.5757575757576,560.5882352941177,240.0,210.0
M2,simulated,49,0.139189375631117,0.3116,0.6884,84,370.95238095238096,800.4651162790698,130.0,240.0
M2,simulated,50,0.139189375631117,0.5904,0.4096,68,868.2352941176471,585.1428571428571,400.0,300.0
