model,metric,observed,simulated_q025,simulated_median,simulated_q975,observed_percentile
M2,X_sd,1.0007824536806302,0.765441529909976,0.8530453851057005,0.9279027758879441,1.0
M2,Vhat_sd,7.3968083109648735,5.745209125266315,6.317669985257778,7.668248223574974,0.95
M2,lower_occupancy,0.5476,0.35272,0.5469999999999999,0.72802,0.51
M2,n_switches,45.0,42.475,63.5,96.14999999999995,0.08
M2,lower_wait_median,800.0,80.0,185.0,640.7499999999981,0.98
M2,upper_wait_median,520.0,80.0,205.0,740.4999999999998,0.93
M3,X_sd,1.0007824536806302,0.7074895043461615,0.85091167452508,0.9516729558863597,1.0
M3,Vhat_sd,7.3968083109648735,5.740332330531484,6.326867578189368,7.405657097035641,0.97
M3,lower_occupancy,0.5476,0.3864,0.5882000000000001,0.7846899999999997,0.32
M3,n_switches,45.0,37.95,63.5,89.04999999999998,0.13
M3,lower_wait_median,800.0,100.0,180.0,740.0,0.98
M3,upper_wait_median,520.0,100.0,180.0,535.2499999999999,0.96
M4,X_sd,1.0007824536806302,0.7957104925132569,0.8791522403045736,0.9683897120316396,1.0
M4,Vhat_sd,7.3968083109648735,5.844558754753551,6.482139653996508,9.469272494230955,0.9
M4,lower_occupancy,0.5476,0.37064,0.5578000000000001,0.7358299999999998,0.44
M4,n_switches,45.0,35.95,61.0,86.52499999999999,0.17
M4,lower_wait_median,800.0,80.0,200.0,721.9999999999993,0.98
M4,upper_wait_median,520.0,100.0,240.0,682.999999999999,0.94
