model,variable,value,observed_density,simulated_q025,simulated_median,simulated_q975
M2,Vhat,-151.61874381854778,0.0,0.0,0.0,0.0
M2,Vhat,-146.52179985018364,0.0,0.0,0.0,0.0
M2,Vhat,-141.42485588181947,0.0,0.0,0.0,0.0
M2,Vhat,-136.3279119134553,0.0,0.0,0.0,0.0
M2,Vhat,-131.23096794509115,0.0,0.0,0.0,0.0
M2,Vhat,-126.134023976727,0.0,0.0,0.0,0.0
M2,Vhat,-121.03708000836284,0.0,0.0,0.0,0.0
M2,Vhat,-115.94013603999868,0.0,0.0,0.0,0.0
M2,Vhat,-110.84319207163452,0.0,0.0,0.0,0.0
M2,Vhat,-105.74624810327036,0.0,0.0,0.0,0.0
M2,Vhat,-100.6493041349062,0.0,0.0,0.0,0.0
M2,Vhat,-95.55236016654206,0.0,0.0,0.0,0.0
M2,Vhat,-90.45541619817789,0.0,0.0,0.0,0.0
M2,Vhat,-85.35847222981374,0.0,0.0,0.0,0.0
M2,Vhat,-80.26152826144957,0.0,0.0,0.0,0.0
M2,Vhat,-75.16458429308543,0.0,0.0,0.0,7.847839852325829e-05
M2,Vhat,-70.06764032472125,0.0,0.0,0.0,4.1201159224709935e-05
M2,Vhat,-64.97069635635711,0.0,0.0,0.0,7.847839852325829e-05
M2,Vhat,-59.873752387992944,0.0,0.0,0.0,7.847839852325829e-05
M2,Vhat,-54.776808419628786,7.847839852325829e-05,0.0,0.0,7.847839852325829e-05
M2,Vhat,-49.67986445126463,0.0,0.0,0.0,7.847839852325829e-05
M2,Vhat,-44.58292048290047,7.847839852325829e-05,0.0,0.0,0.00015698977116354316
M2,Vhat,-39.48597651453631,0.0,0.0,0.0,0.00015695679704651658
M2,Vhat,-34.38903254617216,7.84783985232585e-05,0.0,7.84783985232585e-05,0.00023543519556977553
M2,Vhat,-29.29208857780801,0.00023543519556977485,0.0,0.00015695679704651658,0.0003923919926162914
M2,Vhat,-24.19514460944385,0.0006278271881860663,7.847839852325829e-05,0.00031391359409303315,0.0006278271881860663
M2,Vhat,-19.098200641079686,0.0016480463689884195,0.0003923919926162904,0.0008632623837558388,0.0015322907311666133
M2,Vhat,-14.001256672715527,0.00525805270105832,0.0021973951586512384,0.0029821791438838234,0.003965121085387636
M2,Vhat,-8.90431270435137,0.020482862014570356,0.01298621299563613,0.014832417320895776,0.016443186450585647
M2,Vhat,-3.807368735987211,0.05517031416185073,0.05956510447915321,0.06246880522451378,0.06631424675215344
M2,Vhat,1.2895752323769472,0.06866859870785082,0.07211772432294801,0.07659491695869988,0.07965557450110694
M2,Vhat,6.386519200741105,0.029664834641791718,0.023692628514171744,0.026447220302338117,0.028887898496411456
M2,Vhat,11.48346316910525,0.008240231844942143,0.00584589877234966,0.007141534265616524,0.00855806935896134
