model,source,rep,X_mean,X_sd,X_q05,X_q50,X_q95,Vhat_mean,Vhat_sd,Vhat_q05,Vhat_q50,Vhat_q95
M2,observed,-1,0.0008541781040973775,1.0007824536806302,-1.3079278833873498,-0.27851855158331507,1.4521437141671647,-0.06830038896095775,7.3968083109648735,-10.506040118005261,-0.34331503721695134,10.602681743182268
M2,simulated,0,0.10565460785880085,0.852068935405585,-1.2016610907567877,0.18723581766990124,1.4054433146690901,-0.030212418604067058,6.274467466801684,-8.49358015045448,-0.5763061647448073,10.402597320511266
M2,simulated,1,0.02394481781469658,0.8555409787614677,-1.2485905843534173,0.05323414380175261,1.271583812937081,-0.024234708180425547,6.238239193043285,-8.35752152752743,-0.46387578721618083,9.974363519795384
M2,simulated,2,0.07181563581692185,0.8672264617404954,-1.292561912259631,0.24442291382027134,1.2909397740472195,-0.029671504660773507,7.174595987118005,-9.021226669672284,-0.4713973103989716,9.85348047992585
M2,simulated,3,0.046665681627289526,0.8212801319963609,-1.260995326987692,0.09135757617583026,1.3048904727924477,-0.044491288046785364,6.315130477107272,-8.756535922463176,-0.34479672843368003,9.952233610528697
M2,simulated,4,-0.36496508766948416,0.833811124632389,-1.4590755443448582,-0.5312433890322222,1.27958537419294,-0.023323533103584742,6.314731121321986,-8.923616989508641,-0.3569005207978371,9.69082862976191
M2,simulated,5,-0.22316016376239545,0.8283351507823952,-1.3473574294686892,-0.38999361239045593,1.236741208720127,-0.00990386117705392,6.040495360527212,-8.803539239308563,-0.18719493817540844,9.065349127650196
M2,simulated,6,-0.02213435765645561,0.8028466229400658,-1.2894639226682147,-0.00634475642683451,1.3209866377173298,-0.042045012867011546,6.6297034665572605,-9.2457561616305,-0.49394029430465913,10.645866848898628
M2,simulated,7,0.37532829309373344,0.8604635111677448,-1.187236320422852,0.5417583407914679,1.5289660756056265,-0.034971212067873625,6.254643973306265,-8.522204640167026,-0.3146124497807934,9.589081715527046
M2,simulated,8,-0.2620182896096913,0.8419417455096678,-1.4418530799802118,-0.42812941154485135,1.1902222713055517,-0.01873252162607246,6.456992592617766,-8.564986812130016,-0.3306470028462204,9.932125906653024
M2,simulated,9,0.07349616545476904,0.8941172969427732,-1.3609691697552255,0.25824555781427927,1.2950765137728377,-0.04941998679979884,8.518806097051451,-8.989799153111479,-0.3171673576754769,9.827421560858172
M2,simulated,10,-0.0017347970498050587,0.820017200449336,-1.2401517748056425,0.008875954558667399,1.262214263926756,-0.010521765031354807,6.28760252414886,-8.551114374410536,-0.39873138517289436,9.655319794930241
M2,simulated,11,0.18367652134076276,0.8973983779419547,-1.2371408425597392,0.3075339524433911,1.4386230598571628,-0.004791161987056685,6.708799982486031,-8.8550222207959,-0.40784325873239186,10.565051247796026
M2,simulated,12,-0.09466740922713225,0.9069682742105897,-1.4374518064060224,-0.09151398434088714,1.2566490886702857,-0.04155101650354136,5.771644373967092,-7.981962045147026,-0.3620664285459374,9.404188271125069
