model,source,rep,event,barrier,regime,waiting_time_years
M2,observed,-1,0,0.139189375631117,lower,1220.0
M2,observed,-1,1,0.139189375631117,lower,1840.0
M2,observed,-1,2,0.139189375631117,lower,800.0
M2,observed,-1,3,0.139189375631117,lower,5360.0
M2,observed,-1,4,0.139189375631117,lower,4360.0
M2,observed,-1,5,0.139189375631117,lower,200.0
M2,observed,-1,6,0.139189375631117,lower,280.0
M2,observed,-1,7,0.139189375631117,lower,100.0
M2,observed,-1,8,0.139189375631117,lower,740.0
M2,observed,-1,9,0.139189375631117,lower,440.0
M2,observed,-1,10,0.139189375631117,lower,660.0
M2,observed,-1,11,0.139189375631117,lower,300.0
M2,observed,-1,12,0.139189375631117,lower,20.0
M2,observed,-1,13,0.139189375631117,lower,1600.0
M2,observed,-1,14,0.139189375631117,lower,80.0
M2,observed,-1,15,0.139189375631117,lower,980.0
M2,observed,-1,16,0.139189375631117,lower,800.0
M2,observed,-1,17,0.139189375631117,lower,760.0
M2,observed,-1,18,0.139189375631117,lower,1760.0
M2,observed,-1,19,0.139189375631117,lower,1140.0000000000002
M2,observed,-1,20,0.139189375631117,lower,1000.0
M2,observed,-1,21,0.139189375631117,lower,880.0
M2,observed,-1,22,0.139189375631117,lower,2060.0
M2,observed,-1,0,0.139189375631117,upper,2320.0
M2,observed,-1,1,0.139189375631117,upper,2280.0000000000005
M2,observed,-1,2,0.139189375631117,upper,1960.0
M2,observed,-1,3,0.139189375631117,upper,160.0
M2,observed,-1,4,0.139189375631117,upper,260.0
M2,observed,-1,5,0.139189375631117,upper,160.0
M2,observed,-1,6,0.139189375631117,upper,540.0
M2,observed,-1,7,0.139189375631117,upper,120.0
M2,observed,-1,8,0.139189375631117,upper,1540.0
M2,observed,-1,9,0.139189375631117,upper,320.0
M2,observed,-1,10,0.139189375631117,upper,120.0
M2,observed,-1,11,0.139189375631117,upper,4640.0
M2,observed,-1,12,0.139189375631117,upper,520.0
M2,observed,-1,13,0.139189375631117,upper,280.0
M2,observed,-1,14,0.139189375631117,upper,2200.0
M2,observed,-1,15,0.139189375631117,upper,260.0
M2,observed,-1,16,0.139189375631117,upper,1080.0
M2,observed,-1,17,0.139189375631117,upper,560.0
M2,observed,-1,18,0.139189375631117,upper,160.0
M2,observed,-1,19,0.139189375631117,upper,1620.0
M2,observed,-1,20,0.139189375631117,upper,720.0
M2,observed,-1,21,0.139189375631117,upper,360.0
M2,observed,-1,22,0.139189375631117,upper,440.0
M2,simulated,0,0,0.139189375631117,lower,120.0
M2,simulated,0,1,0.139189375631117,lower,1600.0
M2,simulated,0,2,0.139189375631117,lower,60.0
M2,simulated,0,3,0.139189375631117,lower,40.0
M2,simulated,0,4,0.139189375631117,lower,200.0
M2,simulated,0,5,0.139189375631117,lower,1380.0000000000002
M2,simulated,0,6,0.139189375631117,lower,3840.0
M2,simulated,0,7,0.139189375631117,lower,60.0
M2,simulated,0,8,0.139189375631117,lower,2440.0
M2,simulated,0,9,0.139189375631117,lower,20.0
M2,simulated,0,10,0.139189375631117,lower,1340.0
M2,simulated,0,11,0.139189375631117,lower,20.0
M2,simulated,0,12,0.139189375631117,lower,1620.0
M2,simulated,0,13,0.139189375631117,lower,1080.0
M2,simulated,0,14,0.139189375631117,lower,180.0
M2,simulated,0,15,0.139189375631117,lower,180.0
M2,simulated,0,16,0.139189375631117,lower,60.0
M2,simulated,0,17,0.139189375631117,lower,20.0
M2,simulated,0,18,0.139189375631117,lower,180.0
M2,simulated,0,19,0.139189375631117,lower,180.0
M2,simulated,0,20,0.139189375631117,lower,340.0
M2,simulated,0,21,0.139189375631117,lower,1640.0000000000002
M2,simulated,0,22,0.139189375631117,lower,380.0
M2,simulated,0,23,0.139189375631117,lower,100.0
M2,simulated,0,24,0.139189375631117,lower,120.0
M2,simulated,0,25,0.139189375631117,lower,100.0
M2,simulated,0,26,0.139189375631117,lower,340.0
M2,simulated,0,27,0.139189375631117,lower,340.0
M2,simulated,0,28,0.139189375631117,lower,1960.0
M2,simulated,0,29,0.139189375631117,lower,20.0
M2,simulated,0,30,0.139189375631117,lower,3760.0000000000005
M2,simulated,0,31,0.139189375631117,lower,40.0
M2,simulated,0,32,0.139189375631117,lower,40.0
M2,simulated,0,33,0.139189375631117,lower,80.0
M2,simulated,0,34,0.139189375631117,lower,80.0
M2,simulated,0,35,0.139189375631117,lower,100.0
M2,simulated,0,0,0.139189375631117,upper,2840.0
M2,simulated,0,1,0.139189375631117,upper,40.0
M2,simulated,0,2,0.139189375631117,upper,660.0
M2,simulated,0,3,0.139189375631117,upper,1140.0000000000002
M2,simulated,0,4,0.139189375631117,upper,140.0
M2,simulated,0,5,0.139189375631117,upper,240.0
M2,simulated,0,6,0.139189375631117,upper,880.0
M2,simulated,0,7,0.139189375631117,upper,1220.0
M2,simulated,0,8,0.139189375631117,upper,1500.0
M2,simulated,0,9,0.139189375631117,upper,180.0
M2,simulated,0,10,0.139189375631117,upper,20.0
M2,simulated,0,11,0.139189375631117,upper,820.0000000000001
