traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
0,20260830,moderate,M4,True,,6979.148788305532,0,38.63334450209956,-138.80523959060935,41.49887122322938,159.1759230329406,-9.053060407017012,24.707283143700263,-15.814689130442082,1411.839080215513,0.0,0.0,0.0,6976.770721136894,0,38.569580431217126,-139.85051774010344,42.80189835570451,160.13036613809152,-9.829038467481114,25.4325095752346,-19.65733815326867,1415.8779541568522,2.0811407098733987,7.596742948983187,-89.5339303249742,4.756134337276308,470.14890920799996
1,20260831,moderate,M4,True,,6955.25742063362,0,38.02852262913783,-119.14838100757106,36.59532218514896,136.66426476993755,-9.340518421817587,23.150146338666385,-29.504257914032863,1397.3181000527363,0.0,0.0,0.0,6949.9056795151755,0,38.14523888179136,-119.49725363175571,37.47219409101375,132.67078377223504,-9.744467303502429,23.72711875621561,-31.382305571217508,1365.8293897888143,17.20557439589014,36.90568456903252,80.54104341005332,10.703482236889613,457.26432533400003
2,20260832,moderate,M4,True,,7072.722569901447,0,36.09232322028319,-135.72137554521936,22.421538359286856,154.20635943573404,6.029826828731022,24.015140683671763,-30.30273032962273,1388.2680218613498,0.0,0.0,0.0,7071.08923626039,0,36.38905742397751,-135.19899402730357,23.126011983382703,150.87279934020248,6.021710997410635,24.215666409521585,-34.92271408691892,1387.1976308620146,10.973082544923182,30.98481650241901,3.4212442699188097,3.266667282114213,463.553430166
3,20260833,moderate,M4,True,,7018.355058744929,0,38.350149377117276,-116.35704547741321,20.324256058274226,137.84940054514672,-9.886284945838756,21.90677232032909,13.356904291044781,1510.790375351491,0.0,0.0,0.0,7017.092257615686,0,38.49115848601106,-116.64623593778136,18.48369976478156,137.02151568420874,-8.163974382677914,22.698944687328712,12.94359615456604,1482.3302045044484,5.978118506254452,14.99692697402105,56.19768372259177,2.525602258485378,428.80320604200006
4,20260834,moderate,M4,True,,6973.486638645723,0,38.74456098840977,-123.95787328902215,19.63873555571158,154.7620570697524,9.622661116007109,21.962903723337813,-23.289683838248447,1491.7900748645357,0.0,0.0,0.0,6972.355182030724,0,38.814410636377644,-124.12878382650482,20.04577329962905,152.85364158727367,10.195806913463025,21.677955739486002,-33.512106502947105,1487.2220296713056,5.574152596286068,20.599964078628652,19.936901233495014,2.262913229998958,542.452370167
5,20260835,moderate,M4,True,,7032.565280345175,0,39.17194445768174,-118.61111128690432,41.164744924640125,146.8789556236399,-22.187397257436274,22.356601756746294,16.638097735882166,1538.3532985724235,0.0,0.0,0.0,7030.091976528784,0,39.749482418262396,-119.21611233376738,40.80444484312631,142.98684563081164,-21.216103487849665,22.79656300435783,12.04147509177211,1535.457203077555,27.60890903402023,46.274020500879615,-0.44831605878923936,4.946607632782616,378.31987879200005
6,20260836,moderate,M4,True,,6946.43595243299,0,38.93149135780537,-118.1690958114862,48.532958557197176,145.61332421037588,-31.671720348757017,17.44746283916255,-43.11347208521514,1615.1172810752898,0.0,0.0,0.0,6944.261260188986,0,39.0478441795171,-118.02446704024932,49.99255688589491,146.48311111393215,-32.462389654786904,16.79353280364904,-49.75751013769262,1560.248401787363,99.1690763332368,-19.165427380253636,39.950723452670836,4.349384488008582,704.3015032499998
7,20260837,moderate,M4,True,,7083.979502456086,0,38.10058574731005,-128.4508257972669,48.56375835821902,149.2874870287253,-17.710283246341596,22.156969230217733,-16.985498008615412,1559.4280249205053,0.0,0.0,0.0,7077.709183133835,0,38.23635034875039,-127.64120441596573,47.54672053774238,146.803477050926,-18.047125260279834,22.230303043540058,-12.22201976672009,1610.1614845368701,6.835969367174928,12.356808910814213,163.7489619151502,12.540638644502906,614.3847515409998
8,20260838,moderate,M4,True,,6908.138126915385,0,38.439603518461155,-125.39531756283117,46.68847808486455,145.96212988427558,-11.575716840766326,8.64918437587717,-31.416535899826542,1816.6682491437473,0.0,0.0,0.0,6907.934944451154,0,37.82226739969296,-127.54993122797215,47.37361903903201,148.38356654202732,-10.522453196972114,7.596619907859362,-30.354070049592938,1814.3630783237256,3.6045831375839574,-9.395950128751906,20.296425740166214,0.40636492846351757,339.9662057079995
9,20260839,moderate,M4,True,,7063.148465548214,0,38.36711173000282,-135.934385445441,30.863927833122624,175.42480706417277,-11.19574164471126,18.41080941194491,-8.475203995618383,1674.9600224902385,0.0,0.0,0.0,7061.596959758843,0,38.54424171270163,-135.52373539149556,30.798358783824774,173.2317072271776,-11.215247290243685,19.304098062769587,-8.042565140330279,1636.175137738469,9.059916480787559,16.752459848108618,49.56525362065569,3.1030115787416435,493.3188139590002
