traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
0,20260930,strong,M4,True,,6918.51600564852,0,37.472837544587,-126.69698700557447,32.97100181094288,150.53444103187397,-8.410088044124052,26.088370901356754,-53.26357290045569,1264.2479608841409,0.0,0.0,0.0,6913.024380920717,0,37.37240981252777,-122.19312531241616,34.50661406988317,144.138366771288,-11.539919337316382,27.16802476024883,-42.79428946567756,1257.916031026387,6.249601953672941,12.461460605228298,136.96859912267223,10.98324945560671,505.35369120900003
1,20260931,strong,M4,True,,7023.692788575084,0,37.96805958869859,-128.93073794101775,29.46809717533254,167.67381225654242,-9.52448525409021,22.629345217584635,-23.82790257621215,1477.145503511824,0.0,0.0,0.0,7015.34182812576,0,37.715399118728236,-128.52781208455534,30.61346365992245,161.78048207763902,-10.005151553332293,21.507039048003218,-24.8705777539671,1385.5295848099297,92.2610459768809,45.96052612434495,43.62571215714765,16.701920898647586,726.485728333
2,20260932,strong,M4,True,,7056.203479626769,0,38.72369826893945,-126.92314462216774,33.18384002416631,152.93967005844806,-5.040959879486001,21.507440508038734,-44.41885126931059,1581.2420925700628,0.0,0.0,0.0,7031.438616663215,0,38.456516920783095,-124.91241814645981,30.4475404899496,145.64743484113217,-3.706100071598037,20.573020006190376,-50.43289215743319,1516.3464995785969,47.73358151086476,51.57627253528605,214.75400715740565,49.5297259271083,451.643780417
3,20260933,strong,M4,True,,7059.642778680043,0,41.132066147749164,-132.34622497760884,51.61837176301829,147.43676556906226,-17.418781299202454,19.381294614503854,-3.4558237970689647,1758.8386022182626,0.0,0.0,0.0,7045.928333547348,0,40.680780615410676,-130.7700157847303,49.77240310287102,139.2530731343261,-12.303302430965521,19.82557058394301,-34.972197223728294,1432.4386730221045,248.54783196148068,56.791302185672684,18.832883788268234,27.428890265389782,746.4894617499997
4,20260934,strong,M4,True,,6940.534336314238,0,38.10145743302858,-128.53562041508636,50.94466749671434,145.94450912471473,-30.6136626067939,20.85787704487597,-94.47462178416161,1480.2949089570411,0.0,0.0,0.0,6939.464771293446,0,38.80563316619479,-129.21004899127874,50.91164221613652,144.8690504097535,-30.454030871045873,21.961353912541647,-90.60072204150623,1479.3027939737208,10.793076967431954,27.014199432439092,4.486913099626032,2.139130041585304,369.48398483300025
5,20260935,strong,M4,True,,7072.23996002561,0,40.21799472450444,-149.10615908222312,43.476353274900355,170.35856235680654,-14.825292447627076,26.817343479071827,76.66681371740017,1515.1529036161123,0.0,0.0,0.0,7069.238997216908,0,40.17828486116807,-151.5488055846903,47.0772009757915,169.11599826737668,-16.116980316451873,26.46994012452809,58.40742240546139,1460.5833485459684,30.93862570803079,32.97165247318161,64.41522060440009,6.0019256174055045,649.8835859589999
6,20260936,strong,M4,True,,7120.430263116854,0,35.13326428952821,-149.1592944239587,40.32126621160692,193.45465470697434,-11.575554138983362,22.463841418159934,-47.06449191041597,1440.2893374882794,0.0,0.0,0.0,7114.961984501115,0,35.235021754199146,-148.2858023274419,39.340934965130394,191.4510532076396,-11.287773917624387,22.315907831847404,-45.82887273166492,1477.8574543431148,7.250690098449881,9.285260867409676,136.3666205641321,10.936557231478218,586.1915615829998
7,20260937,strong,M4,True,,7199.468493106121,0,35.76751422691301,-119.40463448192007,12.31327113641657,155.09741624981845,3.857510486424919,27.315942700446247,28.59737371878797,1360.1417524931464,0.0,0.0,0.0,7180.111087087913,0,35.520664923765146,-119.0050237955241,12.009205134827473,145.0465694565093,5.602343442185418,23.48835929364513,5.54997367409132,1260.2956577470572,200.71267134201548,80.08524128705325,33.81049563735066,38.71481203641633,517.4719035000003
8,20260938,strong,M4,True,,7103.267656774357,0,39.721650044974766,-139.52448448344518,37.97839288929525,173.66792928971594,-20.3524292904352,24.83366636279606,-3.2654680533414786,1568.9717065038349,0.0,0.0,0.0,7070.994539202753,0,39.44154619536806,-139.11333257530546,33.8694650946042,163.23204355928118,-17.910187323882802,23.775389980212378,10.02381490522884,1476.403154094355,110.8763398366689,97.24924342818028,125.85803057257216,64.54623514320883,369.4191691249998
9,20260939,strong,M4,True,,6976.65847515046,0,36.39153359887719,-131.1410818589459,43.29255767610878,165.0997991461046,-25.774682781049794,18.875007081498435,27.311820037615753,1482.9141840219181,0.0,0.0,0.0,6969.301094824354,0,36.17673242758457,-131.0250569022671,43.28503216454193,159.37125386079506,-23.756971875404968,18.80764162994623,13.088252723991861,1344.0722998234212,112.7859673537666,44.528535321398905,9.181021899202227,14.714760652212135,605.7139442920006
