traj,seed,truth,generating_model,success,error,nll_m3,convergence_m3,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,nll_m4,convergence_m4,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,contrast,time_sec
0,20260730,weak,M4,True,,7078.488013139664,0,40.48907781085403,-135.06164657518312,46.41412344486064,160.6842619972032,-18.09563066192963,23.340576920306287,-20.20905231037645,1641.166784875953,0.0,0.0,0.0,7074.639727180514,0,39.938015221781896,-135.83236460031375,46.860679122535615,167.66841066398487,-21.58066239217537,21.67982371932702,-12.331723850823968,1637.4098538794926,25.278551229973218,-46.28861022738382,-5.970431548253863,7.696571918300833,440.402271458
1,20260731,weak,M4,True,,6973.728989017325,0,38.31484658802034,-131.5394336047344,46.030910633634,162.1363176715265,-16.421476174207587,19.16089450126164,-40.76133223553368,1558.3108517495768,0.0,0.0,0.0,6972.033148806489,0,38.82684142161425,-131.88791021789368,46.003629896781234,160.86697709826478,-16.20394708268208,19.57712470285912,-39.73406653715804,1557.198396273488,13.619035644965708,27.398332551784932,-0.30437320584711675,3.391680421671481,410.75162800000004
2,20260732,weak,M4,True,,7050.083635191766,0,37.350892890847234,-117.3630039742304,15.69654733087879,145.2657226074508,7.708779722419782,16.813194355678373,11.003529814790223,1664.1318102038886,0.0,0.0,0.0,7043.520608773994,0,38.64980805700685,-117.27200241821747,11.705965120011262,154.31320185844606,7.08305607847442,16.97434240147219,32.08932321517193,1657.4148151429952,77.41146324104086,-71.40300240993027,4.262662435390476,13.126052835543305,427.286793333
3,20260733,weak,M4,True,,7208.028871288612,0,37.36104982288998,-135.96799288035706,28.283237722777322,165.7446278384104,-13.622205011650964,28.81028498241172,36.94383037952078,1415.4802103324362,0.0,0.0,0.0,7206.930177819708,0,37.31691586005708,-135.98990942893312,28.903902656993296,163.27695825473094,-13.600551281927588,28.414798725204612,32.501533040072935,1414.8511308262318,4.987920836172925,21.3807656223161,16.92747463885429,2.197386937808915,649.4095117079999
4,20260734,weak,M4,True,,6924.0003293441605,0,38.86081278623683,-146.2327416252027,50.71211105168081,191.0168293471591,-26.151148931959316,19.515897582944,-5.2980476875028675,1533.3419990471884,0.0,0.0,0.0,6921.107877452882,0,38.81260000220095,-147.3662414939619,51.033865905813784,189.99675581794293,-26.074866821103864,19.480793955099095,-10.098977125263675,1516.944635340567,10.098857903521486,25.64496590071839,36.75069795240477,5.784903782556285,533.106342709
5,20260735,weak,M4,True,,6867.872916347841,0,37.369259550075846,-131.23792646229344,46.236042766236956,159.18324369503986,-32.193200395440485,18.980826447975087,0.11118167599225462,1432.602028881046,0.0,0.0,0.0,6867.5866479245215,0,37.40548841013551,-130.98423342301362,46.21365042750211,160.0290629511708,-32.19843489183647,18.968257459046615,-1.1098579539936555,1432.3183946817994,1.3909968589679078,-9.741620794439807,-0.4492815211318383,0.5725368466391956,363.6206834999998
6,20260736,weak,M4,True,,6839.626761756111,0,37.66294371357251,-121.69916664860449,56.52408434706628,138.9474726857189,-37.99192369052006,16.708172146854416,-46.30029432240538,1488.4885727785174,0.0,0.0,0.0,6833.665158172461,0,37.53538603197243,-124.30015297415868,59.06305630177473,146.18323261120665,-38.09074920964868,15.320539166106851,-60.220821410472794,1486.5258273148975,40.36261118144602,-47.560284250790836,-5.606223525327017,11.923207167299552,405.16152925000006
7,20260737,weak,M4,True,,6958.122634970316,0,36.43635815551125,-139.57970718706088,36.42984687428032,174.73879155877134,-11.320880769528063,20.720582123386052,-9.635911344506564,1410.2833987039955,0.0,0.0,0.0,6948.953210508204,0,36.333445079489124,-141.80388963547938,36.59531570863989,181.8196535151549,-10.401632049103723,18.957141210965773,-18.479749152469235,1362.624473558518,117.95375308984455,-41.136168168632565,91.9031132212981,18.338848924222475,575.1829552919999
8,20260738,weak,M4,True,,6943.362098080558,0,37.108491955496824,-146.34695311701125,55.82365737644897,170.08737819092246,-28.177801648586936,19.015160723743726,1.5727726108619926,1483.7086640974435,0.0,0.0,0.0,6941.301499560836,0,37.0209673659132,-145.83198329483017,54.81025284124799,170.29381150967853,-27.698397622171246,19.243038677455708,2.509392539179285,1457.8264158678526,1.9520822420593131,-6.733279516010054,86.21236312111529,4.121197039443359,458.78974945799973
9,20260739,weak,M4,True,,7064.096744914053,0,35.284090719714605,-124.2627470556758,47.579375772100896,153.09686291602887,-23.796097762008557,18.702042566940598,-16.09296247523365,1514.3370058419423,0.0,0.0,0.0,7060.166736517502,0,35.14747102138734,-124.48565141798875,49.30602165925116,150.124246896978,-25.523168964345707,19.09757836899387,-22.669499141843783,1476.8944950491843,16.25117362082,30.658065532069394,-111.83096807606033,7.8600167931017495,346.93520179200004
