traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
0,20260620,complete,True,0,,M2,symmetric Student Kramers model,28.24982214304293,-77.74639469678839,0.0,78.76672491274006,0.0,17.37501318524875,9.430612335869444,1400.4525095117058,0.0,0.0,0.0,-3947.692199192228,281.9570123441516,0.14353947508598824,1399.173098246017,1.4776699580000001
0,20260620,partial,True,0,,M2,symmetric Student Kramers model,35.68219273780228,-118.70420819142826,0.0,128.58248679460937,0.0,20.266036167330352,33.48643411302566,1379.14287206125,0.0,0.0,0.0,6943.348199980851,263.17140969689973,0.13397604724022424,1365.3101635846247,87.12964425
1,20260621,complete,True,0,,M2,symmetric Student Kramers model,28.09588723775449,-97.30241352303406,0.0,115.4160900854049,0.0,20.279709496585127,-10.253532458116526,1254.121831309519,0.0,0.0,0.0,-4131.749711946361,29.493362126949993,0.015500462903919904,1252.8259320732825,1.2118159169999956
1,20260621,partial,True,0,,M2,symmetric Student Kramers model,36.93028051656251,-157.09011616343736,0.0,190.94079719174434,0.0,18.11720666249444,18.73954979483289,1510.8943905815952,0.0,0.0,0.0,6942.008257058084,264.17722633298274,0.13884036954515622,1506.0486562551384,76.55398966700001
2,20260622,complete,True,0,,M2,symmetric Student Kramers model,29.28082071246697,-105.99263996069176,0.0,130.4687217090043,0.0,20.036939103934877,17.716071426747504,1256.404029127688,0.0,0.0,0.0,-4203.9206377591245,146.84894026859777,0.07657023573409563,1252.4883412597717,1.468332083000007
2,20260622,partial,True,0,,M2,symmetric Student Kramers model,40.46557235566839,-134.58206130725705,0.0,160.44964959918417,0.0,31.292511290885994,2.087610163886466,1256.4069537484795,0.0,0.0,0.0,6921.625741069065,1007.7022281434108,0.5254378888780739,1256.3721412467678,103.63690600000001
3,20260623,complete,True,0,,M2,symmetric Student Kramers model,27.663339870804066,-81.8756947985009,0.0,91.62526223486336,0.0,20.312314605348558,13.25525058452233,1258.0833875120281,0.0,0.0,0.0,-4126.459668749963,127.4379041681513,0.06520788265932799,1255.9213530924678,1.8905941670000175
3,20260623,partial,True,0,,M2,symmetric Student Kramers model,34.714385560798796,-113.55348176845122,0.0,129.68856533156216,0.0,18.149782738037743,20.32890214257143,1414.7781790192194,0.0,0.0,0.0,6964.206646051791,244.21339101971526,0.12495998148586933,1409.0858272769058,110.49768429199997
4,20260624,complete,True,0,,M2,symmetric Student Kramers model,27.358491796109167,-78.90586199432384,0.0,95.71921314830139,0.0,17.90724187284098,-12.229133013740975,1346.422116402311,0.0,0.0,0.0,-3927.072477692135,154.07750464437822,0.07886140408655222,1344.3343362298385,1.7540480840000328
4,20260624,partial,True,0,,M2,symmetric Student Kramers model,38.12391435577689,-129.27098891118416,0.0,161.07177164509326,0.0,22.632603011828834,-30.216790788789332,1518.9910462465057,0.0,0.0,0.0,7048.093028471124,409.0517167624493,0.20936471422195,1508.9054851071508,112.30744620900003
